,k8s-master,k8s-node01,k8s-node02
240,"11.261850089473684,5.474839998548221","19.69164902105263,7.451692313277937","21.650592784210527,11.109287751998949"
250,"11.261850089473684,5.474839998548221","19.69164902105263,7.451692313277937","21.650592784210527,11.109287751998949"
260,"11.345187184210525,6.433953175552242","21.840824510526318,9.869538083847578","21.675340521052632,11.1081793178764"
270,"11.38253517368421,6.949415595005747","27.738409268421055,14.054641835822009","21.9389409368421,11.108665947491177"
280,"11.38253517368421,6.949415595005747","27.738409268421055,14.054641835822009","21.9389409368421,11.108665947491177"
290,"11.328248794736844,7.904230210412562","27.840913957894738,14.050179728020671","21.680859021052633,11.10815904164245"
300,"11.293796689473684,8.364845417033807","27.375032431578948,14.04871776412924","21.64824580526316,11.107239852370093"
310,"11.260520089473683,9.28245314314406","35.696974157894736,16.19136788616858","21.77708822631579,11.107435855964933"
320,"11.260520089473683,9.28245314314406","35.696974157894736,16.19136788616858","21.77708822631579,11.107435855964933"
330,"11.374665526315791,9.770008705938983","40.22572229473684,17.081392102803637","21.629028810526314,11.106428803012129"
340,"11.296825115789474,10.736225323569832","35.24493630526316,14.344048327676134","21.75529449473684,11.10530009265563"
350,"11.296825115789474,10.736225323569832","35.24493630526316,14.344048327676134","21.75529449473684,11.10530009265563"
360,"11.28160517368421,11.116925133453103","42.87471221578948,20.377905887079155","21.590540563157898,11.105698858589962"
370,"11.285784326315788,11.117594249173422","37.52349201578948,20.377905887079155","21.654047736842106,11.105279816421682"
380,"11.285784326315788,11.117594249173422","37.52349201578948,20.377905887079155","21.654047736842106,11.105279816421682"
390,"10.739850821052631,11.140749708343272","41.03551838947369,20.37735851671222","21.810208215789473,11.105408232570026"
400,"13.878200694736844,11.287664540793653","40.15978075263158,20.427543371999622","21.67183940526316,11.106050313311746"
410,"13.878200694736844,11.287664540793653","40.15978075263158,20.427543371999622","21.67183940526316,11.106050313311746"
420,"22.008887742105262,11.419487096441271","49.68051061578948,20.559224053310825","21.57520662631579,11.104752634339006"
430,"21.841565168421052,13.416594759255881","50.666321157894735,20.560173290529434","25.183071278947367,15.85838726755241"
440,"21.841565168421052,13.416594759255881","50.666321157894735,20.560173290529434","25.183071278947367,15.85838726755241"
450,"21.819383357894736,14.31976580679439","49.914168915789475,20.56027029287294","30.904220442105263,17.627177777355733"
460,"21.977007563157894,16.16069239824389","50.19336490526316,20.582781765305462","30.757575100000004,17.625866580893693"
470,"21.977007563157894,16.16069239824389","50.19336490526316,20.582781765305462","30.757575100000004,17.625866580893693"
480,"21.44791647894737,17.548647923270945","49.68808765263157,20.59841300008779","30.681705752631576,17.62701556748414"
490,"21.870105694736843,17.54987125605254","47.72939497894737,20.57776535839837","31.327253689473686,17.625602989852354"
500,"21.870105694736843,17.54987125605254","47.72939497894737,20.57776535839837","31.327253689473686,17.625602989852354"
510,"21.70414617894737,17.55049981930496","45.899215784210526,20.369903193739802","29.988288531578956,17.652908318237113"
520,"21.80447414736842,17.550601200474706","42.58917143157895,21.67009489115679","31.05691628421052,17.652597415983227"
530,"21.80447414736842,17.550601200474706","42.58917143157895,21.67009489115679","31.05691628421052,17.652597415983227"
540,"21.84314416315789,17.54106461177399","50.58605174736842,22.82982719517516","31.112119005263153,17.651752572902016"
550,"21.76217122105263,17.540510394712715","51.10713218947369,24.585756688606057","40.31814559473684,20.219791672510166"
560,"21.76217122105263,17.540510394712715","51.10713218947369,24.585756688606057","40.31814559473684,20.219791672510166"
570,"21.91825667368421,17.539848037737045","50.638669552631576,25.430751031637246","40.712770336842105,22.565677594227544"
580,"21.4336286,17.567308817248747","51.21567288947367,26.88014619084615","40.36162693157895,22.80623483379943"
590,"21.4336286,17.567308817248747","51.21567288947367,26.88014619084615","40.36162693157895,22.80623483379943"
600,"24.9596185,11.69007343849174","55.43902942105264,32.970930268410335","41.551254994736844,22.806647117223058"
610,"32.081340689473684,11.740797817087689","58.54553284736841,33.2756562017998","39.84226453157895,22.806579529776563"
620,"32.081340689473684,11.740797817087689","58.54553284736841,33.2756562017998","39.84226453157895,22.806579529776563"
630,"32.30065367368421,13.0250674404438","61.985899752631575,33.302359561219596","38.25079748421053,22.807823138792106"
640,"32.357197589473685,15.358152299794662","60.43382308421052,33.30159047121036","40.52885774736842,19.002575554823657"
650,"32.357197589473685,15.358152299794662","60.43382308421052,33.30159047121036","40.52885774736842,19.002575554823657"
660,"32.25994435263158,15.363849921534355","59.26724721052632,33.29901990910742","38.87737387368421,19.002028096507033"
670,"32.5278384631579,15.364052683873846","66.54706950526315,39.70332941836494","39.57139127368421,19.0027985933971"
680,"32.5278384631579,15.364052683873846","66.54706950526315,39.70332941836494","39.57139127368421,19.0027985933971"
690,"27.730423278947367,15.183817240300474","75.12722275789473,42.47536538877396","40.617720221052636,19.002602589802258"
700,"21.701661436842105,15.18412814255436","79.51291678947368,38.06893693260991","41.477506436842106,19.062640518525484"
710,"21.701661436842105,15.18412814255436","79.51291678947368,38.06893693260991","41.477506436842106,19.062640518525484"
720,"21.851290436842106,15.181465197162382","81.87589416842106,38.069311084506296","51.40825432631579,19.131795993781143"
730,"21.93322000526316,15.182424938902638","80.28786868947368,38.06829948863829","49.91694121578947,19.13209337854573"
740,"21.93322000526316,15.182424938902638","80.28786868947368,38.06829948863829","49.91694121578947,19.13209337854573"
750,"20.578850799999998,15.182255970286395","74.34354952105264,38.06862513936292","50.653118626315795,19.154383718400418"
760,"21.47282373157895,15.180566284123973","81.67476519473684,38.06920715342397","55.249188600000004,24.569814351477838"
770,"21.47282373157895,15.180566284123973","81.67476519473684,38.06920715342397","55.249188600000004,24.569814351477838"
780,"21.58139302105263,15.182512802583084","81.18956914736842,38.06904086369224","54.19563404736842,25.559551400489617"
790,"21.86157602631579,15.182289764009644","85.50121256842105,38.253359173833815","61.607316826315795,26.13042200858131"
800,"21.86157602631579,15.182289764009644","85.50121256842105,38.253359173833815","61.607316826315795,26.13042200858131"
810,"21.604567605263156,15.182614183752829","92.05281180526316,38.246305717713064","60.01193154210527,27.19947292605724"
820,"21.948286273684207,15.180444626720277","92.42259394210525,38.27310607947638","62.5851447736842,27.63220155225385"
830,"21.948286273684207,15.180444626720277","92.42259394210525,38.27310607947638","62.5851447736842,27.63220155225385"
840,"21.681398584210527,15.179018531599192","91.4259700736842,32.096544215296426","61.33692737894736,28.343295835592727"
850,"21.390925684210526,15.179167223981485","93.01908674736842,35.56065033419733","61.129892621052626,28.343120108231833"
860,"21.390925684210526,15.179167223981485","93.01908674736842,35.56065033419733","61.129892621052626,28.343120108231833"
870,"21.787253584210525,15.179694406064161","93.57856096842103,37.553327904435506","60.98038187894738,28.344113643695337"
880,"22.0052009,15.176146065123072","93.5376990157895,46.200567172702485","60.25044794736842,28.34400550378094"
890,"22.0052009,15.176146065123072","93.5376990157895,46.200567172702485","60.25044794736842,28.34400550378094"
900,"21.732300610526316,15.17910639527964","87.92816814210525,42.96666147242213","52.990283557894735,28.16625051949401"
910,"22.177465668421053,15.204695002523378","76.36702327894737,42.78593917772915","50.15768465789474,28.16690611772503"
920,"22.177465668421053,15.204695002523378","76.36702327894737,42.78593917772915","50.15768465789474,28.16690611772503"
930,"21.785064868421056,15.20441789399274","74.35962773157895,42.98845235601717","49.95110131052631,28.165446228880697"
940,"29.81405454736842,15.405003917706336","80.59861844736842,42.98824449385251","51.07288516315789,28.165966652218724"
950,"29.81405454736842,15.405003917706336","80.59861844736842,42.98824449385251","51.07288516315789,28.165966652218724"
960,"32.82019066842105,16.873341192852195","80.43496048421054,42.98917294485465","49.825471173684214,28.166385694387003"
970,"32.29027278421053,17.514942063702925","82.73803283157895,42.98917987359347","51.237473984210524,28.1654191939021"
980,"32.29027278421053,17.514942063702925","82.73803283157895,42.98917987359347","51.237473984210524,28.1654191939021"
990,"41.52983052105263,20.971330283832806","82.41151432105264,42.990205326939126","50.73816571578947,28.165439470136047"
1000,"46.64299313157895,25.755473890394924","82.19966801052632,42.98796041556081","49.04989670526316,28.166581697981847"
1010,"46.64299313157895,25.755473890394924","82.19966801052632,42.98796041556081","49.04989670526316,28.166581697981847"
1020,"46.75972271052631,27.70706140799385","82.03529223684211,42.9881128478149","50.563309373684206,28.16560168000764"
1030,"52.10079595789474,28.70718664753221","81.68455821578948,37.67483026841726","48.1402936,28.20322761147248"
1040,"52.10079595789474,28.70718664753221","81.68455821578948,37.67483026841726","48.1402936,28.20322761147248"
1050,"50.474100226315784,30.46416963043252","83.33889734210526,37.675114346708966","58.42171071052632,29.690928690039712"
1060,"47.649922321052635,30.879643181538462","81.58662427368421,37.669980151241894","59.42304185263157,30.282987962608193"
1070,"47.649922321052635,30.879643181538462","81.58662427368421,37.669980151241894","59.42304185263157,30.282987962608193"
1080,"51.76506948947368,32.03907203247009","82.57227727368421,37.69533933533024","50.52324672105263,26.52874862451098"
1090,"51.91976282105264,32.622175968377725","75.51403590526317,37.69508297199383","51.21881278947369,26.52830930610875"
1100,"51.91976282105264,32.622175968377725","75.51403590526317,37.69508297199383","51.21881278947369,26.52830930610875"
1110,"51.7755055368421,33.60733734726166","83.36976411052632,37.72780047671109","48.00607471052632,26.329514349727322"
1120,"51.71262782105263,27.96486696391175","91.11887120526316,37.80261699851053","42.6548466631579,26.33019022419229"
1130,"51.71262782105263,27.96486696391175","91.11887120526316,37.80261699851053","42.6548466631579,26.33019022419229"
1140,"50.72353714736842,27.967982745195258","92.80660486842106,40.18476590666947","41.81896787368421,26.329656283364965"
1150,"50.18086231578947,27.865817561070497","90.8587355631579,41.59919172104399","42.88337885263158,26.32928455240923"
1160,"50.18086231578947,27.865817561070497","90.8587355631579,41.59919172104399","42.88337885263158,26.32928455240923"
1170,"41.951837431578944,27.76397679668892","93.56972225263158,42.28860123382824","47.284888105263164,26.56863197668882"
1180,"41.30925881578947,27.763023813693312","90.0491043631579,42.285815880821815","52.95496491578948,26.57585707471934"
1190,"41.30925881578947,27.763023813693312","90.0491043631579,42.285815880821815","52.95496491578948,26.57585707471934"
1200,"42.04688546315789,21.574156236628244","93.39968002105263,46.374575519477","45.36034644210526,26.452185565119255"
1210,"41.31649682631579,21.568303163761612","103.17380028421053,46.548687797333834","42.913129805263154,26.45137451576129"
1220,"41.31649682631579,21.568303163761612","103.17380028421053,46.548687797333834","42.913129805263154,26.45137451576129"
1230,"44.07539064210526,21.61987238543877","107.17810874736841,50.16175487216789","43.02880316315789,26.451252858357595"
1240,"51.0355182,21.672577076217078","108.32761971052632,50.965259927133225","42.92840805789474,26.450847333678617"
1250,"51.0355182,21.672577076217078","108.32761971052632,50.965259927133225","42.92840805789474,26.450847333678617"
1260,"51.781382221052624,22.35092524172819","102.7468478631579,50.96329909404661","42.98421168421053,26.45226667005505"
1270,"52.6117734631579,23.641602155012215","106.04293799999998,50.98967680274178","42.95047021578947,26.44874536409256"
1280,"52.6117734631579,23.641602155012215","106.04293799999998,50.98967680274178","42.95047021578947,26.44874536409256"
1290,"52.265526699999995,25.76857909627068","109.1543310894737,51.098880655314574","42.978603115789475,26.449975455618805"
1300,"53.29102043157895,26.955157824460127","109.71265414210527,51.096136874741084","42.89164865263158,26.449691588343516"
1310,"53.29102043157895,26.955157824460127","109.71265414210527,51.096136874741084","42.89164865263158,26.449691588343516"
1320,"51.940642600000004,28.19729343367005","110.36668726315789,51.63285777010597","40.95346420526316,26.45074595250887"
1330,"47.63493260526317,28.2006457710163","111.14940657894738,52.09317546248119","42.91806971578948,26.449988973108105"
1340,"47.63493260526317,28.2006457710163","111.14940657894738,52.09317546248119","42.91806971578948,26.449988973108105"
1350,"51.413352163157896,28.196948737692917","109.95198967894737,52.92665424159029","43.392399299999994,26.47409065652891"
1360,"44.81280776842105,21.571337840109322","110.81981875263159,53.71549808520838","42.94140395263158,26.47348912825509"
1370,"44.81280776842105,21.571337840109322","110.81981875263159,53.71549808520838","42.94140395263158,26.47348912825509"
1380,"43.10932394210526,17.954747095547766","105.08230671578949,55.663194283014455","43.64812603157895,27.746410819344366"
1390,"43.49309696315789,17.981139993404817","111.0774750894737,56.68593849178401","44.86274971578948,31.250367084318786"
1400,"43.49309696315789,17.981139993404817","111.0774750894737,56.68593849178401","44.86274971578948,31.250367084318786"
