,k8s-master,k8s-node01,k8s-node02
10,"0.8537413210526315,4.897082229658493","0.4135190631578948,3.4318874833788215","0.6589824421052631,3.094862968817788"
20,"1.5406327315789474,5.003322936807022","0.3771464210526316,3.4330792264561976","0.610140347368421,3.094781863881992"
30,"1.1457785578947368,5.002518646193709","0.4141809631578947,3.4335226657408024","2.212054557894737,3.1083601818832256"
40,"1.1457785578947368,5.002518646193709","0.4141809631578947,3.4335226657408024","2.212054557894737,3.1083601818832256"
50,"0.7784157684210526,5.004106951186386","0.3733485894736842,3.4341531809736","5.612881736842105,7.119249330563239"
60,"0.8327949789473683,5.0059993996883","0.34427075263157897,3.4331693000608827","11.147999478947368,7.134382159833902"
70,"0.8327949789473683,5.0059993996883","0.34427075263157897,3.4331693000608827","11.147999478947368,7.134382159833902"
80,"0.8268668684210526,5.005472217605624","0.33250712105263164,3.4336612405172415","13.04229307368421,10.958871889820026"
90,"0.7992724421052632,5.005985882199001","0.3268907526315789,3.4336404543007757","11.200280394736842,10.959372036924103"
100,"0.7992724421052632,5.005985882199001","0.3268907526315789,3.4336404543007757","11.200280394736842,10.959372036924103"
110,"0.8137566578947368,5.00644547683518","0.654560452631579,3.462768872308263","11.229771678947367,10.957986494270916"
120,"0.86181,5.005931812241803","2.4824582736842102,6.631204919459994","14.922072184210526,11.005642402795903"
130,"0.86181,5.005931812241803","2.4824582736842102,6.631204919459994","14.922072184210526,11.005642402795903"
140,"0.8355220105263157,5.0060129171776","1.4160079684210527,9.791104760383078","21.754896763157895,11.114424397932716"
150,"0.8175440789473684,5.006567134238875","0.8871293210526315,9.818265416565131","21.9505323,11.112849610429338"
160,"0.8175440789473684,5.006567134238875","0.8871293210526315,9.818265416565131","21.9505323,11.112849610429338"
170,"0.7137867842105263,5.005303248989382","11.89946695263158,10.089982838206812","21.682526184210527,11.110680053396786"
180,"0.7247617421052632,5.005391112669828","18.868990015789475,10.312367639436191","21.616552273684214,11.110896333225577"
190,"0.7247617421052632,5.005391112669828","18.868990015789475,10.312367639436191","21.616552273684214,11.110896333225577"
200,"1.0215233368421053,5.031101377317261","19.240865063157898,11.25658845113656","21.789088678947365,11.108415873939139"
210,"0.7350319894736843,5.031439314549746","20.84899252631579,11.742736481840018","21.70702732631579,11.10884843359672"
220,"0.7350319894736843,5.031439314549746","20.84899252631579,11.742736481840018","21.70702732631579,11.10884843359672"
230,"5.632550821052631,5.187836665743648","20.766068084210524,12.858353505779018","21.76385565789474,11.108807881128822"
