,k8s-master,k8s-node01,k8s-node02
10,"102.1858791631579,59.39306337870862","28.658022536842104,25.97898749092422","76.21943471578948,42.459440942325806"
20,"97.20661782631578,59.38527054612752","29.462827678947367,25.979250782999454","80.74225348421052,42.457021311741215"
30,"97.20661782631578,59.38527054612752","29.462827678947367,25.979250782999454","80.74225348421052,42.457021311741215"
40,"101.74643163157894,59.488517129396236","29.81689168947369,25.97920921056652","83.51705069473684,42.4574538713988"
50,"105.00576365789475,59.48905782896821","30.282847210526313,25.977698745503336","80.27870063157894,37.84577991080755"
60,"105.00576365789475,59.48905782896821","30.282847210526313,25.977698745503336","80.27870063157894,37.84577991080755"
70,"104.52236452631578,59.48490120100865","29.435865099999997,25.976992014143494","83.53560202105264,37.84561094219131"
80,"49.53063349999999,5.029438726133437","16.2212788,3.450310999906393","37.0974838631579,2.9883248769046733"
90,"49.53063349999999,5.029438726133437","16.2212788,3.450310999906393","37.0974838631579,2.9883248769046733"
100,"1.1484701105263158,5.033149276946118","0.4388301210526316,3.4417401499836378","2.0968342368421053,3.0292355582692667"
110,"1.056209142105263,5.0269447493577","0.3700480315789474,3.438462856520854","4.076939694736843,3.215912085493794"
120,"1.056209142105263,5.0269447493577","0.3700480315789474,3.438462856520854","4.076939694736843,3.215912085493794"
130,"0.8417124789473684,5.027282686590184","0.3608033578947369,3.4375205480410687","7.437712447368422,4.569283114148371"
140,"0.9109755789473682,5.024876573494893","3.100713126315789,7.050241185934023","10.490341384210526,11.80023421753709"
150,"0.9109755789473682,5.024876573494893","3.100713126315789,7.050241185934023","10.490341384210526,11.80023421753709"
160,"0.7931622315789473,5.0241533878173765","1.4244757315789476,10.288283343291086","17.97234354736842,11.980726493407149"
170,"0.854161952631579,5.021956795806226","0.36047412631578946,10.286717448317324","20.58751223684211,11.979334192009311"
180,"0.854161952631579,5.021956795806226","0.36047412631578946,10.286717448317324","20.58751223684211,11.979334192009311"
190,"0.9628560736842106,5.020814567960428","2.045495942105263,10.341232765368446","21.420135068421054,11.979807304134791"
200,"0.7726893263157896,5.017259468274689","15.76840747894737,14.360982165356985","20.245081752631577,11.979117912180522"
210,"0.7726893263157896,5.017259468274689","15.76840747894737,14.360982165356985","20.245081752631577,11.979117912180522"
220,"1.3678893157894738,5.046159860396777","20.094075357894738,15.417358472368294","21.18814018421053,11.97849610767275"
230,"2.1636018684210523,10.620731894995872","21.00908753157895,15.417864270302296","20.84654501052632,11.962592781512022"
240,"2.1636018684210523,10.620731894995872","21.00908753157895,15.417864270302296","20.84654501052632,11.962592781512022"
250,"5.549107036842106,10.690745730822044","20.38453195263158,15.418238422198682","20.707478821052632,11.963140239828647"
260,"10.671903878947367,10.786354932636605","21.853065989473688,15.441747633021565","20.802742673684207,11.9641675690154"
270,"10.671903878947367,10.786354932636605","21.853065989473688,15.441747633021565","20.802742673684207,11.9641675690154"
280,"10.597340484210527,10.785773680596732","20.621611394736842,15.442350433299076","20.4203212631579,11.96570856279553"
290,"10.23104234736842,10.786381967615204","21.39410567894737,16.729737821373096","19.99592667368421,11.992716506415704"
300,"10.23104234736842,10.786381967615204","21.39410567894737,16.729737821373096","19.99592667368421,11.992716506415704"
310,"11.22726757368421,10.762172144280003","22.293485589473686,22.33274561461066","22.316856768421058,15.960491622975326"
320,"10.967844910526317,10.760421629415733","25.736699789473686,22.503615242698825","30.75502168947369,18.175102447361713"
330,"10.967844910526317,10.760421629415733","25.736699789473686,22.503615242698825","30.75502168947369,18.175102447361713"
340,"10.71698527368421,10.750702554609473","31.875458289473684,22.54175794991367","31.264271157894736,18.174453607875343"
350,"11.09181865263158,10.750952628161512","34.55080446842105,22.575528622931866","31.272271242105266,18.1941553485292"
360,"11.09181865263158,10.750952628161512","34.55080446842105,22.575528622931866","31.272271242105266,18.1941553485292"
370,"10.381971821052632,10.751263530415399","31.11205888421053,22.57304813443361","31.385043578947375,18.195378681310793"
380,"10.782693394736842,10.750290271185843","31.304302842105262,22.598047024103213","31.702382915789475,18.197757759427486"
390,"10.782693394736842,10.750290271185843","31.304302842105262,22.598047024103213","31.702382915789475,18.197757759427486"
400,"10.772827263157895,10.750236201228645","34.565604400000005,22.749426109885224","30.848263684210522,18.199109508357424"
410,"11.20659927368421,10.77900141845774","42.51930997894737,22.75615391528134","31.053729131578947,18.19236428119703"
420,"11.20659927368421,10.77900141845774","42.51930997894737,22.75615391528134","31.053729131578947,18.19236428119703"
430,"12.811437147368423,14.570332747192468","46.77748525789474,25.958346777973624","31.027826878947373,18.19260083725977"
440,"10.868093668421054,14.569116173155523","53.085742884210525,27.026065430436468","30.965402594736844,18.192404833664927"
450,"10.868093668421054,14.569116173155523","53.085742884210525,27.026065430436468","30.965402594736844,18.192404833664927"
460,"11.076805415789474,14.569981292470684","52.938665263157894,28.208891220948406","31.66506165789474,18.191600543051614"
470,"13.708932021052632,14.678323969205266","52.787790957894735,28.214565858043585","30.694614742105262,18.209673426244894"
480,"13.708932021052632,14.678323969205266","52.787790957894735,28.214565858043585","30.694614742105262,18.209673426244894"
