,k8s-master,k8s-node01,k8s-node02
10,"0.8265919315789475,5.700014335297402","0.37838156315789473,3.387003113290215","0.7215484736842105,2.2485126875492503"
20,"0.8265919315789475,5.700014335297402","0.37838156315789473,3.387003113290215","0.7215484736842105,2.2485126875492503"
30,"1.6559376736842104,5.807167472973639","0.3813071210526316,3.3873564789701343","0.6426816894736841,2.2469108650672727"
40,"0.9373891736842105,5.807262095398735","0.3893222157894737,3.3873079777983808","2.213890542105263,2.280373409827904"
50,"0.9373891736842105,5.807262095398735","0.3893222157894737,3.3873079777983808","2.213890542105263,2.280373409827904"
60,"0.9794555157894737,5.807687896311665","0.3956070578947368,3.38773063086652","0.616833052631579,2.27892027972822"
70,"0.8297893526315792,5.807600032631219","0.3567785421052631,3.3879315642923564","0.7100351421052632,2.27693320880121"
80,"0.8297893526315792,5.807600032631219","0.3567785421052631,3.3879315642923564","0.7100351421052632,2.27693320880121"
90,"0.8213292421052631,5.80361913203255","0.38840589473684206,3.3880839965464395","2.164551210526316,6.72746517945447"
100,"0.8671895421052632,5.8041733490938245","0.37815344210526314,3.388021637897042","10.267630363157895,8.653707404617046"
110,"0.8671895421052632,5.8041733490938245","0.37815344210526314,3.388021637897042","10.267630363157895,8.653707404617046"
120,"0.8959122631578946,5.806674084614211","0.3339493,3.3880493528523297","17.1368776,10.5793886539737"
130,"0.7621378473684209,5.806653808380262","0.3219792368421052,3.388042424113508","21.897687763157894,11.088964206837321"
140,"0.7621378473684209,5.806653808380262","0.3219792368421052,3.388042424113508","21.897687763157894,11.088964206837321"
150,"0.8145208631578948,5.807518927695423","0.3163387842105263,3.3880770678076173","21.85180082105263,11.949548404338113"
160,"0.7985943526315789,5.805944140192044","0.6730839157894738,3.4121752214303673","21.890230010526317,12.550218317590302"
170,"0.7985943526315789,5.805944140192044","0.6730839157894738,3.4121752214303673","21.890230010526317,12.550218317590302"
180,"0.778690847368421,5.806214489978032","0.322265547368421,3.412376154856204","21.770324415789474,13.387694367133793"
190,"0.7542464842105263,5.806424011062172","0.32538602631578945,3.410505395374277","22.10517852105263,13.846180569190384"
200,"0.7542464842105263,5.806424011062172","0.32538602631578945,3.410505395374277","22.10517852105263,13.846180569190384"
210,"0.8077741263157895,5.80647132227472","4.693692847368421,10.186271521615483","21.810049863157897,14.528847572532651"
220,"0.7470090263157895,5.807937969863704","7.499659163157894,10.382708195956651","21.846487684210526,14.53306502919406"
230,"0.7470090263157895,5.807937969863704","7.499659163157894,10.382708195956651","21.846487684210526,14.53306502919406"
240,"0.8235678315789474,5.803064914971275","10.857134868421053,10.382320186582621","21.546618942105262,14.533416483915843"
250,"0.7130294421052632,5.8333711259804994","10.852770378947367,10.38040092592894","21.812349563157895,14.534058564657565"
260,"0.7130294421052632,5.8333711259804994","10.852770378947367,10.38040092592894","21.812349563157895,14.534058564657565"
270,"0.7283328315789473,5.845868044837783","10.95499294736842,10.380373210973653","21.679438715789477,14.531821420178517"
280,"1.0732919684210527,5.902695569852403","18.759755505263158,14.846534324521755","21.962032447368426,14.533362413958645"
290,"1.0732919684210527,5.902695569852403","18.759755505263158,14.846534324521755","21.962032447368426,14.533362413958645"
300,"0.8454346157894737,5.914455785542869","20.265851142105262,14.846021597848932","20.5761946,14.532983924258263"
310,"2.276261194736842,10.640041628460047","20.675901094736844,14.846319533618276","21.69602834736842,14.53414642833801"
320,"2.276261194736842,10.640041628460047","20.675901094736844,14.846319533618276","21.69602834736842,14.53414642833801"
330,"0.7071057526315788,10.64018356209769","20.845638115789473,14.84658282569351","21.72789335263158,14.533646281233933"
340,"5.687201463157895,10.746214748162078","20.899535563157897,14.865851648357358","21.698951647368418,14.534112634614763"
350,"8.555962515789474,10.746336405565772","26.65995407894737,15.052068432936148","21.712613584210526,14.533632763744635"
360,"8.555962515789474,10.746336405565772","26.65995407894737,15.052068432936148","21.712613584210526,14.533632763744635"
370,"9.887176400000001,10.747215042370232","30.814567005263157,16.481564254248408","21.688181078947366,14.534450571847247"
380,"10.386211936842106,10.748952039745204","32.16300775789474,17.152030595093443","21.679670463157894,14.533963942232468"
390,"10.386211936842106,10.748952039745204","32.16300775789474,17.152030595093443","21.679670463157894,14.533963942232468"
400,"9.963391805263159,10.749790124081766","31.126686005263153,18.527309035123924","21.732536657894734,14.533842284828774"
