,k8s-master,k8s-node01,k8s-node02
10,"0.9637435771144278,3.6699865286722413","0.0,2.244152368947861","0.6964933333333333,2.2219291397224192"
20,"2.540648169154229,3.879675199298113","0.3848528457711443,2.244152368947861","0.618709104477612,2.2223705202103843"
30,"0.995532303482587,3.8682585965273106","0.3866197412935323,2.2442603556366114","0.8073496666666666,2.221988429638713"
40,"0.995532303482587,3.8682585965273106","0.3866197412935323,2.2442603556366114","0.8073496666666666,2.221988429638713"
50,"0.8605299950248757,3.86705962266448","0.3842635721393035,2.2446248107111457","0.5892822686567165,2.2220279562495757"
60,"0.908322711442786,3.8658804121070798","0.386375671641791,2.244611312375052","0.7031505721393035,2.219926458105383"
70,"0.908322711442786,3.8658804121070798","0.386375671641791,2.244611312375052","0.7031505721393035,2.219926458105383"
80,"0.9047903582089554,3.8654851459984543","0.4075123582089552,2.2444493323419255","0.6272355323383084,2.220604998258523"
90,"0.910843,3.864174180071513","0.40580296019900497,2.245151245818806","0.7351712636815919,2.2200384501694934"
100,"0.910843,3.864174180071513","0.40580296019900497,2.245151245818806","0.7351712636815919,2.2200384501694934"
110,"0.8923665472636817,3.862850038607617","0.3522330547263682,2.2451579949868528","0.6040535920398009,2.2202097321498977"
120,"0.9104124875621891,3.8636603341302997","0.36676007462686566,2.24525248333951","0.7026482139303483,2.231883257891307"
130,"0.9104124875621891,3.8636603341302997","0.36676007462686566,2.24525248333951","0.7026482139303483,2.231883257891307"
140,"0.9165682288557214,3.863199190336903","0.3854012786069652,2.245360470028261","0.5833576815920398,2.2201767933075125"
150,"0.9744159203980101,3.8669673939058002","0.38849656716417913,2.2454684567170116","0.7587020597014925,2.220572059416138"
160,"0.9744159203980101,3.8669673939058002","0.38849656716417913,2.2454684567170116","0.7587020597014925,2.220572059416138"
170,"0.9216822388059701,3.8673890110883344","0.3825639900497512,2.2453267241880264","0.6297991840796019,2.2207631047019736"
180,"0.8664218109452737,3.867922620334979","0.3431786368159204,2.253675445062076","0.6872388507462686,2.219702473977162"
190,"0.8664218109452737,3.867922620334979","0.3431786368159204,2.253675445062076","0.6872388507462686,2.219702473977162"
