,k8s-master,k8s-node01,k8s-node02
10,"0.794194405263158,5.617942899016177","0.37556970526315786,3.2738221646336245","0.6096254473684212,2.1291059458231194"
20,"0.9389615736842105,5.617016950999169","0.34947206315789475,3.274043884275927","0.7800829210526317,2.1317486149811495"
30,"2.473712289473684,5.7197363521852065","0.40811814736842106,3.273614302468966","1.3695217789473684,2.162710424221394"
40,"2.473712289473684,5.7197363521852065","0.40811814736842106,3.273614302468966","1.3695217789473684,2.162710424221394"
50,"0.9338020894736841,5.720871821286355","0.33609812105263154,3.273669732379542","2.5872686368421056,4.986061102971705"
60,"0.8359037210526316,5.721182723540241","0.36205469473684215,3.273745948506583","0.0,6.917318316664354"
70,"0.8359037210526316,5.721182723540241","0.36205469473684215,3.273745948506583","0.0,6.917318316664354"
80,"0.8186114157894737,5.715978490159977","0.35761583157894733,3.273898380760666","0.7300231631578948,6.9195554611434025"
90,"0.9992958578947367,5.707962619005441","0.3713568842105263,3.275055480143932","5.340688905263158,12.593170139839103"
100,"0.9992958578947367,5.707962619005441","0.3713568842105263,3.275055480143932","5.340688905263158,12.593170139839103"
110,"0.9146547315789474,5.663564425401606","0.29774601578947374,3.274147815358256","7.4426622263157896,12.703290366416555"
120,"0.9163160578947369,5.664051055016384","0.35233716315789476,3.2746882569863685","8.82530182631579,12.702330624676298"
130,"0.9163160578947369,5.664051055016384","0.35233716315789476,3.2746882569863685","8.82530182631579,12.702330624676298"
140,"0.9218097000000001,5.664889139352947","0.9691157315789474,3.29946542701367","13.596282605263156,12.847907225686042"
150,"0.8676226526315791,5.665004038011991","0.3591952052631579,3.298031178077526","20.660650021052632,12.886425311444643"
160,"0.8676226526315791,5.665004038011991","0.3591952052631579,3.298031178077526","20.660650021052632,12.886425311444643"
170,"0.7975796842105264,5.665402803946323","0.3346333684210526,3.2961257749014887","21.481579063157895,12.888534039775347"
180,"0.8190874263157895,5.665605566285814","8.972616584210526,3.529083831573168","20.223646268421053,12.886141444169356"
190,"0.8190874263157895,5.665605566285814","8.972616584210526,3.529083831573168","20.223646268421053,12.886141444169356"
200,"0.7418376736842105,5.665335216499826","19.928339989473685,5.099627989083911","21.096937705263155,12.887222843313307"
210,"0.9282929894736842,5.6639767088252375","21.457293636842106,7.0151401950620125","20.43728400526316,12.886195514126554"
220,"0.9282929894736842,5.6639767088252375","21.457293636842106,7.0151401950620125","20.43728400526316,12.886195514126554"
230,"0.6723197315789473,5.664659342034857","21.587530315789472,7.9876164036783015","21.530649026315793,12.887729749162034"
240,"1.4621452,5.68948421113318","21.453994889473687,9.779145757176389","20.86524215263158,12.89005475732153"
250,"1.4621452,5.68948421113318","21.453994889473687,9.779145757176389","20.86524215263158,12.89005475732153"
260,"0.7211072315789474,5.685057233387631","21.46209995263158,10.66957876940194","20.17624567368421,12.89113615646548"
270,"2.7616513789473682,5.69565494499835","21.559903810526315,12.59529700766478","20.862252157894734,12.888155550074964"
280,"2.7616513789473682,5.69565494499835","21.559903810526315,12.59529700766478","20.862252157894734,12.888155550074964"
290,"6.810605147368421,6.1478622732753765","22.702911878947372,14.05560493051826","20.542434984210526,12.889088256836622"
300,"9.983446163157895,10.009842759833349","22.984351578947365,19.257203168844843","20.770546847368422,12.89158899235701"
310,"9.983446163157895,10.009842759833349","22.984351578947365,19.257203168844843","20.770546847368422,12.89158899235701"
320,"9.577798736842105,12.495066961248805","21.5275845,19.497069178122008","18.184638010526317,12.892751496436755"
330,"9.473310236842106,12.495418415970589","25.695926478947367,19.672587989959702","20.71603195263158,12.891467334953314"
340,"9.473310236842106,12.495418415970589","25.695926478947367,19.672587989959702","20.71603195263158,12.891467334953314"
350,"8.096405389473684,12.523433412543568","31.287299299999997,13.329362242156511","20.953034236842104,12.892163485652233"
360,"8.932090289473683,12.524001147094141","31.828487278947367,13.327394480331078","21.15285603157895,12.891284848847773"
370,"8.932090289473683,12.524001147094141","31.828487278947367,13.327394480331078","21.15285603157895,12.891284848847773"
380,"10.310366536842105,12.613155747768246","31.49521671052631,13.327699344839242","21.46807634736842,12.892643356522361"
390,"16.731066715789474,12.87634802317195","31.814271757894733,8.771464626605761","21.23111541578947,8.137521799486025"
400,"16.731066715789474,12.87634802317195","31.814271757894733,8.771464626605761","21.23111541578947,8.137521799486025"
410,"13.105226289473684,18.35521623353139","32.008785126315786,8.771644773815131","20.74805553157895,8.138778925990868"
420,"9.806231847368421,12.342244985974592","40.25186066842105,8.934442421175723","20.97720937368421,8.167483314518115"
430,"9.806231847368421,12.342244985974592","40.25186066842105,8.934442421175723","20.97720937368421,8.167483314518115"
440,"0.931993842105263,12.366468326799092","42.05984345263158,8.936971410845736","20.823975200000003,8.16870664729971"
450,"0.8759396578947369,12.385338741861036","42.35507666315789,10.019053338886486","21.148310936842105,8.16646274407601"
460,"0.8759396578947369,12.385338741861036","42.35507666315789,10.019053338886486","21.148310936842105,8.16646274407601"
470,"3.8773737473684213,12.592724062692223","42.53848267368421,13.20488744922014","20.91859007894737,8.167537384475311"
480,"10.151369105263157,16.248177588989517","42.00620928421053,14.858243893130854","30.97281421052632,12.7077984490979"
490,"10.151369105263157,16.248177588989517","42.00620928421053,14.858243893130854","30.97281421052632,12.7077984490979"
500,"9.4907889,18.50044137981935","40.222293368421056,15.816848766625595","41.54296935789474,12.749256588779119"
510,"10.06371185263158,18.499650606695333","42.69673981578948,15.8070030287596","41.389420426315795,13.555946556443256"
520,"10.06371185263158,18.499650606695333","42.69673981578948,15.8070030287596","41.389420426315795,13.555946556443256"
530,"9.356324010526315,18.499880404013425","42.186742284210524,15.84103699385303","33.544610931578944,13.854919626022438"
540,"10.015723342105264,18.500258893713806","42.73990452631579,15.871932240260115","31.993761436842114,14.842358701853323"
550,"10.015723342105264,18.500258893713806","42.73990452631579,15.871932240260115","31.993761436842114,14.842358701853323"
560,"10.290701878947369,18.500083166352915","42.36036688421053,15.872465753149406","32.683830273684215,15.399245467264798"
570,"10.000033047368422,18.497920368065014","36.10459154736842,15.695602765980253","32.010842442105265,16.454265230847966"
580,"10.000033047368422,18.497920368065014","36.10459154736842,15.695602765980253","32.010842442105265,16.454265230847966"
590,"10.577019294736843,18.493743463871503","37.889911436842105,18.9357235449839","33.18075071052632,17.022236337484937"
600,"9.325430736842106,18.508173383698598","42.50658208421053,20.04682995994981","42.89843708947368,17.138554332906157"
610,"9.325430736842106,18.508173383698598","42.50658208421053,20.04682995994981","42.89843708947368,17.138554332906157"
620,"6.880960494736843,18.322713430511016","42.70811093157894,20.923571784263185","42.82847065263157,17.137047132849275"
630,"0.7874727105263157,18.322571496873373","42.485281678947366,20.92380043264431","42.93259266315789,17.43879804647948"
640,"0.7874727105263157,18.322571496873373","42.485281678947366,20.92380043264431","42.93259266315789,17.43879804647948"
650,"0.7037594421052631,18.323166266402545","42.922478315789476,20.95033750233239","42.70979023157895,17.917668622399546"
660,"0.7415286157894736,18.323565032336877","47.890920331578954,21.154409646855346","40.76776991052631,19.070960533189254"
670,"0.7415286157894736,18.323565032336877","47.890920331578954,21.154409646855346","40.76776991052631,19.070960533189254"
680,"0.6999131842105264,18.32347716865643","52.99944095263157,21.593920336548244","43.20787885263159,19.60340091920279"
690,"4.306143252631579,22.968039180713085","53.588066589473684,22.113963757568694","42.79207992105263,20.741140958553554"
700,"4.306143252631579,22.968039180713085","53.588066589473684,22.113963757568694","42.79207992105263,20.741140958553554"
710,"2.494211936842105,23.087756824693102","53.05660868947369,23.315538715332835","35.587727363157896,21.158277160843323"
720,"11.562729363157894,17.246356310068766","53.60109484210526,23.975556518034363","32.27284235789474,21.5630516191688"
730,"11.562729363157894,17.246356310068766","53.60109484210526,23.975556518034363","32.27284235789474,21.5630516191688"
740,"11.33435587368421,17.244889662479782","53.18963188421053,24.94409027426096","32.682854178947366,21.573595260822323"
750,"11.258440978947366,17.245018078628128","53.24378093684211,25.486679811408045","32.279432121052636,21.572601725358815"
760,"11.258440978947366,17.245018078628128","53.24378093684211,25.486679811408045","32.279432121052636,21.572601725358815"
770,"11.243059631578948,17.245038354862075","53.126000394736835,26.274657562673386","32.33943186315789,21.570242923476073"
780,"11.416405384210528,17.24585616296469","53.337958994736844,26.271830637234032","35.894388268421054,25.752202657984473"
790,"11.416405384210528,17.24585616296469","53.337958994736844,26.271830637234032","35.894388268421054,25.752202657984473"
800,"11.265023752631578,17.242395685704047","53.49772298947368,26.787162515855552","39.191776878947366,25.84346598698928"
810,"11.591170510526315,17.243024248956466","57.52546279473684,31.822886746784597","40.41375321578947,25.83842396348061"
820,"11.591170510526315,17.243024248956466","57.52546279473684,31.822886746784597","40.41375321578947,25.83842396348061"
830,"11.316329163157896,17.244011025675324","61.86231108421053,27.173696068515802","39.40105263684211,25.839464810156663"
840,"11.308948905263158,17.241395391495892","58.79374727894737,27.1978080796162","40.856468115789475,20.211586556505438"
850,"11.308948905263158,17.241395391495892","58.79374727894737,27.1978080796162","40.856468115789475,20.211586556505438"
860,"11.457527963157897,10.566533521649983","63.78321003157894,27.198112944124365","41.55862834736842,20.2124381583313"
870,"11.275658100000001,10.566857941393168","64.82457706842105,27.20953150570294","40.868726505263155,20.212093462354165"
880,"11.275658100000001,10.566857941393168","64.82457706842105,27.20953150570294","40.868726505263155,20.212093462354165"
890,"10.752771210526317,10.565830612206414","74.06630278947368,28.71732207570326","42.67471154210526,20.25493714468857"
900,"11.262194468421052,10.565830612206414","74.2170166,31.12286933486394","51.1140106368421,20.406650685840233"
910,"11.262194468421052,10.565830612206414","74.2170166,31.12286933486394","51.1140106368421,20.406650685840233"
920,"11.3123491,10.565188531464694","73.97394709999999,31.12142122845015","51.217867868421045,20.739951419495206"
930,"11.400237342105266,10.565364258825586","74.1509078736842,31.15044571537531","45.893889500000014,22.013143460370472"
940,"11.400237342105266,10.565364258825586","74.1509078736842,31.15044571537531","45.893889500000014,22.013143460370472"
950,"11.336003826315789,10.566276689353295","74.14578437368421,31.150854510965804","49.84289152631579,28.5641580932554"
