,k8s-master,k8s-node01,k8s-node02
10,"1.909351631840796,4.344962699066717","0.3545955074626866,2.436928855872259","0.7243687512437811,2.5547432031851596"
20,"1.909351631840796,4.344962699066717","0.3545955074626866,2.436928855872259","0.7243687512437811,2.5547432031851596"
30,"1.0246527412935322,4.34969271683327","0.3848708457711443,2.4351943196841983","0.6999039104477611,2.554690501037343"
40,"1.8524844378109449,4.447257567979018","0.3636433830845771,2.435309055540996","0.793826935323383,2.4916982588593792"
50,"1.234937169154229,4.451677960627148","1.1493035671641791,2.4592888496117307","7.065330179104477,2.6135719756856006"
60,"1.234937169154229,4.451677960627148","1.1493035671641791,2.4592888496117307","7.065330179104477,2.6135719756856006"
70,"0.9504046915422885,4.4501232472665535","8.586817905472637,2.560998812078932","12.012361069651744,7.2217687275600015"
80,"0.8430182985074628,4.45026817817305","10.290054059701493,2.5596354801334527","10.766717840796018,7.565702944212076"
90,"0.8430182985074628,4.45026817817305","10.290054059701493,2.5596354801334527","10.766717840796018,7.565702944212076"
100,"0.9039081094527364,4.44836431308317","10.355228462686567,2.55854211490985","12.525856641791044,8.339139902265185"
110,"1.0354306218905474,4.457455433581559","11.438689975124378,2.7482072353646148","20.64457338308458,8.831417489484439"
120,"1.0354306218905474,4.457455433581559","11.438689975124378,2.7482072353646148","20.64457338308458,8.831417489484439"
130,"1.3283253184079604,4.484590451938704","14.229625880597014,7.46580820848666","20.67808878109453,9.619004974226344"
140,"0.8486192786069653,4.4850384201951465","11.848732109452737,12.471990108959243","20.69990974129353,9.967036782871169"
150,"0.8486192786069653,4.4850384201951465","11.848732109452737,12.471990108959243","20.69990974129353,9.967036782871169"
160,"4.189656194029851,6.919152994796256","16.284686159203982,13.0086637045468","19.754935338308456,10.705327996098987"
170,"10.785908343283582,8.036115727855858","23.279051741293536,14.234285625196696","20.74068125870647,11.147999686685731"
180,"10.785908343283582,8.036115727855858","23.279051741293536,14.234285625196696","20.74068125870647,11.147999686685731"
190,"11.033294263681592,9.436444734189141","30.88735787064677,14.849944734437448","21.29318709950249,12.191106947348644"
200,"10.786232039800996,9.810788090131476","30.336197701492534,16.112309125934818","20.87303377114428,12.611571270399107"
