,k8s-master,k8s-node01,k8s-node02
10,"0.9660658631578948,5.580560282358723","0.43862670000000004,3.2886565944514246","0.5893226684210526,2.098407727624213"
20,"2.516840184210526,5.683347270991258","0.36849494736842103,3.289737477707649","0.6150117421052632,2.0990362908766342"
30,"2.516840184210526,5.683347270991258","0.36849494736842103,3.289737477707649","0.6150117421052632,2.0990362908766342"
40,"1.0068637578947368,5.685766901575849","0.37723376315789475,3.2888159554443295","3.267533768421053,2.241801254112105"
50,"1.0968086263157895,5.6849085410053375","0.3299724684210526,3.2872223455152803","10.993555610526316,2.3215476822338355"
60,"1.0968086263157895,5.6849085410053375","0.3299724684210526,3.2872223455152803","10.993555610526316,2.3215476822338355"
70,"0.9173266105263158,5.685564139236358","0.3406920578947369,3.287243131731746","11.101984384210525,2.321074570108357"
80,"0.9011803263157894,5.684523292560305","0.3751798421052632,3.293617571447942","13.18032797368421,7.162106530386944"
90,"0.9011803263157894,5.684523292560305","0.3751798421052632,3.293617571447942","13.18032797368421,7.162106530386944"
100,"0.7972723263157895,5.683948799265081","0.3678366473684211,3.295044891645264","15.051469289473683,9.942782495419092"
110,"0.9515075210526315,5.6832391310768635","0.35003559473684215,3.2934235667609277","21.62090652631579,11.51598169380494"
120,"0.9515075210526315,5.6832391310768635","0.35003559473684215,3.2934235667609277","21.62090652631579,11.51598169380494"
130,"0.8589704157894736,5.683617620777246","0.615931852631579,3.3198636341054972","21.751232126315788,11.518631121707621"
140,"0.7905047000000001,5.682860641376481","0.2994758315789474,3.3201061399642655","21.69169507368421,11.51625204359093"
150,"0.7905047000000001,5.682860641376481","0.2994758315789474,3.3201061399642655","21.69169507368421,11.51625204359093"
160,"0.8530957473684212,5.685449240577313","7.624896068421053,10.546025498728888","21.801220068421056,11.521016958568962"
170,"0.8893451473684212,5.684915299749988","10.979666284210527,11.209826392827203","21.636544336842107,11.516150662421184"
180,"0.8893451473684212,5.684915299749988","10.979666284210527,11.209826392827203","21.636544336842107,11.516150662421184"
190,"1.1034194368421053,5.6995682581505225","12.099687515789473,13.80116778349853","21.685556963157893,11.51602224627284"
200,"0.7899752000000001,5.698202991731284","10.919571257894736,15.113914355660894","19.655252678947367,11.510466558170792"
210,"0.7899752000000001,5.698202991731284","10.919571257894736,15.113914355660894","19.655252678947367,11.510466558170792"
220,"2.7693984947368424,5.758119263050815","10.96302487368421,17.032308916988928","21.665541899999997,11.510831530381875"
230,"8.5048948,5.801557714914393","10.88543017368421,17.03288400231115","21.69847489473684,11.511068086444615"
240,"8.5048948,5.801557714914393","10.88543017368421,17.03288400231115","21.69847489473684,11.511068086444615"
250,"9.327447173684211,12.550535978588838","10.689450563157894,17.061319546436444","21.701833557894734,11.51338633585946"
260,"0.827213947368421,12.549657341784377","12.143419405263158,20.690211860739833","21.561532757894735,11.513467440795255"
270,"0.827213947368421,12.549657341784377","12.143419405263158,20.690211860739833","21.561532757894735,11.513467440795255"
280,"0.7912569894736843,12.54935995701979","17.284363415789475,20.868280448464006","22.131352610526314,11.538792456997657"
290,"0.8967183105263158,12.551975591199222","21.588820684210525,20.868446738195733","21.604659584210523,11.53894114937995"
300,"0.8967183105263158,12.551975591199222","21.588820684210525,20.868446738195733","21.604659584210523,11.53894114937995"
310,"0.8311823526315789,12.554408739273113","21.28538080526316,20.868703101532144","25.23514964736842,13.329508334444583"
320,"0.7579862368421053,12.549691135507626","21.829531484210527,20.89228159974325","32.29581547894737,14.974397537329729"
330,"0.7579862368421053,12.549691135507626","21.829531484210527,20.89228159974325","32.29581547894737,14.974397537329729"
340,"0.7599897842105264,12.549555960614633","22.045276615789476,23.70106067212508","32.17845261052632,17.540564464669913"
350,"0.8394699526315789,12.549265334594695","31.580620247368426,26.59177900981532","32.46945804210526,17.54242311944858"
360,"0.8394699526315789,12.549265334594695","31.580620247368426,26.59177900981532","32.46945804210526,17.54242311944858"
370,"0.726813452631579,12.549481614423485","33.89693320526316,32.6273271814909","31.93885503684211,17.545761939305528"
380,"0.7061425526315789,12.549501890657435","31.880401547368418,32.68806450600413","32.41079933157895,17.54477516258667"
390,"0.7061425526315789,12.549501890657435","31.880401547368418,32.68806450600413","32.41079933157895,17.54477516258667"
400,"1.2839510421052631,12.576117827087927","39.29500174210526,32.79149671913824","32.23691046315789,17.53905050586838"
410,"1.4524467789473683,16.239600742029058","42.10038941052631,32.7915798640041","31.967782426315793,17.53891533097539"
420,"1.4524467789473683,16.239600742029058","42.10038941052631,32.7915798640041","31.967782426315793,17.53891533097539"
430,"6.583371615789474,16.34329340244465","42.12839895263158,32.79174615373583","28.224501152631575,17.363782739612535"
440,"11.011773515789473,16.345922554113383","42.131379599999995,32.79218959302043","22.850273878947366,12.558058461383947"
450,"11.011773515789473,16.345922554113383","42.131379599999995,32.79218959302043","22.850273878947366,12.558058461383947"
460,"10.820459726315791,16.35372890418378","42.38807462105263,32.79260531734975","32.0525886631579,13.42121098185162"
470,"10.585142789473684,16.357581388634102","42.041090089473684,32.79266074726033","32.06971087368421,14.180643806925104"
480,"10.585142789473684,16.357581388634102","42.041090089473684,32.79266074726033","32.06971087368421,14.180643806925104"
490,"11.2108637,16.358236986865123","51.002283421052624,33.020623183241376","32.24546006315789,15.953955916899071"
500,"11.06303282631579,16.35699337784958","52.66600505263158,33.02095576270483","32.165025205263156,16.337467364556616"
510,"11.06303282631579,16.35699337784958","52.66600505263158,33.02095576270483","32.165025205263156,16.337467364556616"
520,"11.821861373684209,16.37987848723344","45.50686981052632,32.84026811170596","32.18025421578947,16.33808916906439"
530,"11.158394421052632,16.379804141042296","42.585313968421055,33.241400517064065","32.1517713368421,16.337778266810503"
540,"11.158394421052632,16.379804141042296","42.585313968421055,33.241400517064065","32.1517713368421,16.337778266810503"
550,"20.325759368421053,16.922673270050307","42.20890448947368,34.4618493593792","32.17888949473684,16.338562281189866"
560,"21.87908182105263,19.15127469586156","43.36433620526316,35.04008032902641","32.43869749473684,16.338170274000184"
570,"21.87908182105263,19.15127469586156","43.36433620526316,35.04008032902641","32.43869749473684,16.338170274000184"
580,"22.070905073684212,19.742948719985005","43.82468367368421,39.53904209215763","30.675275905263163,16.339015117081395"
590,"12.559151668421052,19.885727200709777","49.97954975263158,40.23707788477521","31.587109426315795,16.34154288758038"
600,"12.559151668421052,19.885727200709777","49.97954975263158,40.23707788477521","31.587109426315795,16.34154288758038"
610,"16.964808857894738,26.10369117349177","50.63643441052632,41.241121427464314","31.96490157368421,16.34205655217376"
620,"19.798952957894734,26.291185508818913","53.022985968421054,41.574920348950684","31.73519963157895,16.342583734256433"
630,"19.798952957894734,26.291185508818913","53.022985968421054,41.574920348950684","31.73519963157895,16.342583734256433"
640,"20.291154536842104,26.291712690901587","54.571809321052626,42.19064272436348","32.19985202105263,16.342380971916942"
650,"20.466965331578947,26.289935141058717","62.73819137894737,42.25599458893213","32.128956826315786,16.34596310658128"
660,"20.466965331578947,26.289935141058717","62.73819137894737,42.25599458893213","32.128956826315786,16.34596310658128"
670,"20.628380878947368,26.29037445946095","63.49640692631578,44.382867972673886","32.15188101052631,16.34669305100345"
680,"20.582695068421053,26.29278057255624","64.0464260368421,45.6030881666079","32.19981644736842,16.346530841131855"
690,"20.582695068421053,26.29278057255624","64.0464260368421,45.6030881666079","32.19981644736842,16.346530841131855"
700,"21.129522584210527,26.29280084879019","65.54523320526316,51.73905455003003","32.17603771578948,12.65779725617947"
710,"21.179828457894736,26.294612192356308","63.90420586842105,51.73690664099523","31.924507184210526,12.657918913583163"
720,"21.179828457894736,26.294612192356308","63.90420586842105,51.73690664099523","31.924507184210526,12.657918913583163"
730,"21.199342552631578,26.29453108742051","69.93210123157894,58.82988428798305","32.20209799473684,12.656776685737366"
740,"21.03145156315789,26.296126151157836","76.43338933157894,58.897758213482895","32.069427810526314,12.656364402313734"
750,"21.03145156315789,26.296126151157836","76.43338933157894,58.897758213482895","32.069427810526314,12.656364402313734"
760,"21.33218342105263,26.28657604496782","73.61318082105264,58.85624813920058","32.32488084736842,12.68289923380843"
770,"20.664166668421053,26.28632597141578","72.34086044736841,58.8563797852382","34.794321915789475,12.728196340450674"
780,"20.664166668421053,26.28632597141578","72.34086044736841,58.8563797852382","34.794321915789475,12.728196340450674"
790,"21.079403873684214,26.28656928622317","72.58412984210526,58.86351638622481","37.71398721578947,12.887621609247638"
800,"20.976852163157893,26.28657604496782","73.00561062631579,58.88036707903979","40.45527573157895,17.338815936876568"
810,"20.976852163157893,26.28657604496782","73.00561062631579,58.88036707903979","40.45527573157895,17.338815936876568"
820,"19.34826722631579,26.286623356180367","80.3001763,61.377207400918515","40.73958884736842,17.34146536477925"
830,"20.524121473684207,26.287643926622472","80.31810462631579,64.11344950657333","41.72863810526316,17.340708385378484"
840,"20.524121473684207,26.287643926622472","80.31810462631579,64.11344950657333","41.72863810526316,17.340708385378484"
850,"21.70842153157895,26.287988622599606","83.26996788947369,65.04455421568375","41.350971068421046,17.341492399757847"
860,"20.127640836842108,26.30023546790485","85.7696472842105,67.57339838218105","41.71205898421052,17.340296101954852"
870,"20.127640836842108,26.30023546790485","85.7696472842105,67.57339838218105","41.71205898421052,17.340296101954852"
880,"21.333453857894735,26.290023004739165","88.78154985263157,66.26755283388536","41.371149342105255,13.166649623365576"
890,"21.22208262631579,26.290056798462413","92.48174300526316,60.311082358384716","41.88779557368421,13.16673748704602"
900,"21.22208262631579,26.290056798462413","92.48174300526316,60.311082358384716","41.88779557368421,13.16673748704602"
910,"20.33508429473684,26.290354183227","98.9378759736842,60.46793514783607","40.07860331052631,13.173550301652911"
920,"20.105451521052633,26.28809000376935","104.24583557894738,61.892206700076585","40.81912264210526,13.186865028612807"
930,"20.105451521052633,26.28809000376935","104.24583557894738,61.892206700076585","40.81912264210526,13.186865028612807"
940,"21.09051350526316,26.287833171472663","102.41907633157895,63.159805610075104","41.672940815789474,17.087106768632694"
950,"21.458573394736842,26.31878822196826","103.60775528947367,59.5307816497341","40.17743684736842,17.173956637381252"
960,"21.458573394736842,26.31878822196826","103.60775528947367,59.5307816497341","40.17743684736842,17.173956637381252"
