,k8s-master,k8s-node01,k8s-node02
970,"24.406334489473686,26.37885994441473","102.98626996315791,59.53060843126355","51.01798352631579,17.295661352288278"
980,"29.545196963157895,26.486756544002436","98.1344215894737,59.531412164966895","51.64057754210526,17.29322144546974"
990,"29.545196963157895,26.486756544002436","98.1344215894737,59.531412164966895","51.64057754210526,17.29322144546974"
1000,"30.405254426315796,26.509628135896996","102.1396538263158,59.53165467082567","52.64202339473684,17.293701316339867"
1010,"30.516820010526313,29.65770270134182","103.92666789473682,59.532111967587916","51.64853049473684,13.393351436405586"
1020,"30.516820010526313,29.65770270134182","103.92666789473682,59.532111967587916","51.64853049473684,13.393351436405586"
1030,"30.64401537368421,31.11059624496313","103.17959667368422,59.53237525966315","50.22828993157894,13.394419318060237"
1040,"41.22319669473685,31.363643644647645","103.26157658421052,59.535853486551765","49.4590980736842,13.413343803079378"
1050,"41.22319669473685,31.363643644647645","103.26157658421052,59.535853486551765","49.4590980736842,13.413343803079378"
1060,"39.87706953684211,31.679979929231887","103.31305716842105,59.532396045879615","56.744321589473685,15.94273640078058"
1070,"41.85976414210526,32.77327446376627","103.16840742105262,59.54262286438082","59.6933969631579,18.132792705854634"
1080,"41.85976414210526,32.77327446376627","103.16840742105262,59.54262286438082","59.6933969631579,18.132792705854634"
1090,"40.487415931578944,33.169262554047144","106.16613152105262,59.62441662617396","59.679937126315785,18.132353387452405"
1100,"39.16973398421053,34.135884696356975","102.78730018947367,59.73154878583899","56.736643915789486,17.898696826167857"
1110,"39.16973398421053,34.135884696356975","102.78730018947367,59.73154878583899","56.736643915789486,17.898696826167857"
1120,"41.58392273157895,34.634294803059305","110.70238400526316,59.730578762403916","51.59443315263158,17.915485547877697"
1130,"39.37741433157895,35.72750823265789","100.999837,64.2894048289568","52.42194429473684,22.7439935543204"
1140,"39.37741433157895,35.72750823265789","100.999837,64.2894048289568","52.42194429473684,22.7439935543204"
1150,"40.3933183,36.163825752263485","101.49423940526316,65.2662738579862","50.30184164736842,22.742344420625876"
1160,"41.40074357894737,37.194385618959416","101.69628940526316,65.29333751182476","53.09019008947369,22.931886655581874"
1170,"41.40074357894737,37.194385618959416","101.69628940526316,65.29333751182476","53.09019008947369,22.931886655581874"
1180,"41.135232889473684,37.3180300935809","103.81831122105264,65.2937255211988","61.43156877894737,22.94744528576547"
1190,"41.04012592105263,37.31861810436543","104.54459212631579,65.60744495757915","62.10433858947369,22.944376815694508"
1200,"41.04012592105263,37.31861810436543","104.54459212631579,65.60744495757915","62.10433858947369,22.944376815694508"
1210,"40.66674117368421,37.31901011155511","100.45512783157893,70.52206869137811","58.28166811578947,22.945519043540305"
1220,"40.376454415789475,37.31320434990102","111.88846538421053,72.22764011105106","62.06970545263158,22.945539319774255"
1230,"40.376454415789475,37.31320434990102","111.88846538421053,72.22764011105106","62.06970545263158,22.945539319774255"
1240,"42.19688449473684,37.33940800290788","111.42774351052631,72.78307552997404","61.196384289473684,22.94616788302668"
1250,"33.01187598947369,37.17043938666555","104.28531701578946,73.96256859711261","61.65692641052632,22.94172738779183"
1260,"33.01187598947369,37.17043938666555","104.28531701578946,73.96256859711261","61.65692641052632,22.94172738779183"
1270,"31.282892399999998,37.16902005028911","109.20232415789472,74.63106717613222","62.20742705789474,22.942146429960108"
1280,"33.41417036315789,41.787026954617126","109.22463624736842,75.6860161629462","58.50034152105265,18.391051097664064"
1290,"33.41417036315789,41.787026954617126","109.22463624736842,75.6860161629462","58.50034152105265,18.391051097664064"
1300,"40.285721900000006,41.949405794826006","108.65845885263158,75.68612702276735","62.28772483684211,18.39158503849139"
1310,"42.62901205263157,41.94952069348505","109.55060672105262,63.17980195031526","61.35074511578947,18.391652625937887"
1320,"42.62901205263157,41.94952069348505","109.55060672105262,63.17980195031526","61.35074511578947,18.391652625937887"
1330,"41.676895421052635,41.95014249799282","103.26440342105262,67.48997636676475","61.83145257894738,18.399627944624523"
1340,"41.785139747368426,41.95083864869174","109.94088227368421,58.70086424237948","60.672017026315785,18.391862147022024"
1350,"41.785139747368426,41.95083864869174","109.94088227368421,58.70086424237948","60.672017026315785,18.391862147022024"
1360,"42.53254324210526,41.95198087653754","109.08157588947368,61.72139943063782","62.21068812105264,18.421438413609085"
1370,"40.52345321578947,41.95150100566741","104.99858955789473,62.50946032676902","61.576560215789485,18.413544199858244"
1380,"40.52345321578947,41.95150100566741","104.99858955789473,62.50946032676902","61.576560215789485,18.413544199858244"
1390,"41.493602978947365,41.94865557416989","94.13938649473685,62.492568061521105","62.15109242105263,18.41265204556448"
1400,"42.65885925263158,41.97327092218407","93.57735584210526,58.36083638469217","64.39492762105263,23.304259692056725"
1410,"42.65885925263158,41.97327092218407","93.57735584210526,58.36083638469217","64.39492762105263,23.304259692056725"
1420,"46.32088185263158,43.43711363213789","92.78703316315789,58.360337515496994","68.32684404210526,23.348536228256865"
1430,"49.60224445263159,44.49420157158386","85.1329281631579,58.36303972363755","69.48118132105263,23.347941458727693"
1440,"49.60224445263159,44.49420157158386","85.1329281631579,58.36303972363755","69.48118132105263,23.347941458727693"
1450,"44.892917789473685,49.48740666765029","92.58164215263157,58.36174404947785","67.50689097368421,23.348799819298204"
1460,"42.5531892631579,51.32560272626131","92.66448223157894,58.3608155984757","70.02068750526315,23.148396281690147"
1470,"42.5531892631579,51.32560272626131","92.66448223157894,58.3608155984757","70.02068750526315,23.148396281690147"
1480,"45.540595157894735,51.89755473349695","85.07199944210525,51.77989253664662","58.210141936842106,23.14352998554237"
1490,"52.54640645789473,52.95377079488312","73.09480645789473,51.551292656693946","60.23053701052631,23.143827370306955"
1500,"52.54640645789473,52.95377079488312","73.09480645789473,51.551292656693946","60.23053701052631,23.143827370306955"
1510,"53.24320147894736,47.15344993023962","77.72502378421052,58.266563964280685","54.02290026842106,23.144570832218424"
1520,"52.08028727894737,47.15334179032522","83.93895878947369,58.275529752316295","60.88590321052631,23.14459110845237"
1530,"52.08028727894737,47.15334179032522","83.93895878947369,58.275529752316295","60.88590321052631,23.14459110845237"
1540,"53.02779426315789,47.15363241634516","82.67974627894736,58.2767630678266","60.44187274736842,23.144678972132816"
1550,"53.321748815789476,47.181437891833994","86.50096516842105,63.976184261771635","60.18957652631578,23.144293723687785"
1560,"53.321748815789476,47.181437891833994","86.50096516842105,63.976184261771635","60.18957652631578,23.144293723687785"
1570,"51.31047059473685,47.01676107844422","79.61693399473685,64.0243043528901","60.43148380000001,23.145814441233966"
1580,"44.55179827894737,53.31128135187329","92.25907501052632,64.140236010859","59.38586660526315,23.145442710278232"
1590,"40.132143299999996,53.647204478452345","93.76586290526316,58.43881934013324","60.77158465263158,23.144489727282625"
1600,"40.132143299999996,53.647204478452345","93.76586290526316,58.43881934013324","60.77158465263158,23.144489727282625"
1610,"51.40770271578948,59.009038266457694","93.03411607894738,58.4420897048572","58.56582636315788,23.146301070848743"
1620,"53.2178071736842,59.03341029966449","88.70706636842105,58.23584886508297","60.05083027894737,23.14681473544212"
1630,"53.2178071736842,59.03341029966449","88.70706636842105,58.23584886508297","60.05083027894737,23.14681473544212"
1640,"61.5956891,59.118306891209286","86.01125587894737,62.1361606652587","59.27462818947368,23.142543208823515"
1650,"62.283729163157886,59.11637389023947","82.72060244210526,62.78121239210481","59.090018584210526,23.144070685114343"
1660,"62.283729163157886,59.11637389023947","82.72060244210526,62.78121239210481","59.090018584210526,23.144070685114343"
1670,"63.154542400000004,59.08913614930121","82.20985023157894,62.78358202078192","60.43358064736842,23.1429081810346"
1680,"50.874542121052635,53.49019208149532","83.03935746842104,62.80746538350119","60.62759260000001,23.14440186360218"
1690,"50.874542121052635,53.49019208149532","83.03935746842104,62.80746538350119","60.62759260000001,23.14440186360218"
1700,"52.191723700000004,45.02847357739746","92.55377766842105,63.01454460067288","60.295670926315786,23.14219175410173"
1710,"50.94823844736842,45.026898789894084","95.84981068947368,68.73234773871255","58.30193035263159,23.141867334358544"
1720,"50.94823844736842,45.026898789894084","95.84981068947368,68.73234773871255","58.30193035263159,23.141867334358544"
1730,"52.67106444210527,45.02558759343204","90.82781802105262,68.77965023865002","60.865285021052635,23.142860869822048"
1740,"51.677916447368425,45.02581063200548","100.53363387368422,68.78118841866849","61.79007266842105,23.14327991199033"
1750,"51.677916447368425,45.02581063200548","100.53363387368422,68.78118841866849","61.79007266842105,23.14327991199033"
1760,"51.487307342105254,45.02518206875306","106.59736508947368,73.03343164982763","55.479479331578965,23.01792547497247"
1770,"52.25752617894736,45.024391295629044","110.57665023157895,76.07983182010832","48.378309384210525,17.188481179633442"
1780,"52.25752617894736,45.024391295629044","110.57665023157895,76.07983182010832","48.378309384210525,17.188481179633442"
1790,"51.48125642105263,45.02453998801134","112.6405168105263,76.730426538012","49.43207195263158,17.187055084512355"
1800,"48.84325203684211,45.02552000598554","104.64407434210526,81.4746587267015","50.87774576315789,17.18762281906293"
1810,"48.84325203684211,45.02552000598554","104.64407434210526,81.4746587267015","50.87774576315789,17.18762281906293"
1820,"50.395916521052634,45.02530372615676","112.29825290526317,76.58955142028407","44.59335402105264,16.96384078371159"
1830,"51.97092353684209,45.026810926213635","111.1477919157895,78.77798664845886","39.80385895263158,17.28284001368781"
1840,"51.97092353684209,45.026810926213635","111.1477919157895,78.77798664845886","39.80385895263158,17.28284001368781"
1850,"53.155987568421054,45.0253645548586","113.16836346842106,78.78543504269247","43.25608707368421,22.74095887797269"
1860,"51.23575249473684,45.025878219451975","110.25365831052632,78.77955254343263","44.948276752631585,22.852599822096323"
1870,"51.23575249473684,45.025878219451975","110.25365831052632,78.77955254343263","44.948276752631585,22.852599822096323"
1880,"52.77466051052632,45.026182362961215","105.74458238421053,73.1455594301833","47.95023182105264,22.856729415077286"
1890,"51.98908071052632,45.02621615668446","111.19606373684209,76.77260177122122","46.940252952631575,22.85922339185302"
1900,"51.98908071052632,45.02621615668446","111.19606373684209,76.77260177122122","46.940252952631575,22.85922339185302"
1910,"52.04538475789474,45.027905842846884","110.26784123157894,79.45777907175824","49.87795082105263,22.85330273153989"
1920,"52.89382918947369,41.572430053244716","111.16686928947368,79.30310190629699","49.44802401578947,22.853593357559827"
1930,"52.89382918947369,41.572430053244716","111.16686928947368,79.30310190629699","49.44802401578947,22.853593357559827"
1940,"52.76790144210526,34.70001683603292","109.88569014210528,74.91474360098059","48.89363391578947,22.852755273223266"
1950,"51.49318726842105,34.69323781514928","104.63023352105263,74.93102613721217","48.409951378947376,22.853410871454287"
1960,"51.49318726842105,34.69323781514928","104.63023352105263,74.93102613721217","48.409951378947376,22.853410871454287"
1970,"55.81112314210526,35.723621954484315","112.5038428631579,81.05442378841128","49.3630695631579,22.85141704178263"
1980,"61.95648374210527,37.81240522972737","110.78979328421052,81.0025067484184","46.86216682631579,22.851903671397405"
1990,"61.95648374210527,37.81240522972737","110.78979328421052,81.0025067484184","46.86216682631579,22.851903671397405"
2000,"62.046833410526304,38.58481484452826","105.0516500894737,80.97406427555428","47.42148589473684,22.854978900213016"
2010,"62.51096078421053,38.923596920094134","110.02927607894736,80.97608746729028","47.420054363157895,22.85487076029862"
2020,"62.51096078421053,38.923596920094134","110.02927607894736,80.97608746729028","47.420054363157895,22.85487076029862"
2030,"61.407634526315796,38.927050638610126","110.74486793157897,81.28946739546836","49.90002576842106,22.90420959624138"
2040,"58.23499816842105,38.927023603631525","111.98496896842104,81.29841932602633","52.762417321052624,24.934103929351654"
2050,"58.23499816842105,38.927023603631525","111.98496896842104,81.29841932602633","52.762417321052624,24.934103929351654"
2060,"62.67691597368421,38.92298863307566","110.9719901263158,82.24547399190487","47.59050795263158,28.210635195608546"
2070,"61.69963920526315,38.922035650080055","112.01748103684211,83.27177264369008","53.60077584736842,28.285974922218678"
2080,"61.69963920526315,38.922035650080055","112.01748103684211,83.27177264369008","53.60077584736842,28.285974922218678"
2090,"62.33459795263157,38.922474968482284","105.64431498421051,84.01159566014287","58.662332215789476,28.376792174076606"
2100,"61.10276768947368,38.922414139780436","111.6278161631579,84.35244110901117","62.5004046736842,28.43661382297104"
2110,"61.10276768947368,38.922414139780436","111.6278161631579,84.35244110901117","62.5004046736842,28.43661382297104"
2120,"63.51492807368422,38.92381995866757","111.18311990000001,85.15325781331359","69.2472514631579,28.539015563158543"
2130,"62.106006515789474,38.92501625647057","111.71436544210528,78.89362729939725","61.03674792105264,28.647757005827458"
2140,"62.106006515789474,38.92501625647057","111.71436544210528,78.89362729939725","61.03674792105264,28.647757005827458"
2150,"62.432217863157895,38.92488784032223","112.19079830000001,80.30866977152692","59.96877177894737,29.442071712038008"
2160,"66.36488852105263,39.24458997974202","110.8759804736842,82.88068690962382","59.98431245789474,29.845778288708836"
2170,"66.36488852105263,39.24458997974202","110.8759804736842,82.88068690962382","59.98431245789474,29.845778288708836"
2180,"69.70616771578948,40.51762656949034","102.26711810526315,83.71965324987991","60.11840964736843,30.799335777610807"
2190,"61.61468962105264,43.27770863957487","111.36349037368421,81.29057599367988","60.54232547894737,31.177223949719806"
2200,"61.61468962105264,43.27770863957487","111.36349037368421,81.29057599367988","60.54232547894737,31.177223949719806"
2210,"60.755650078947376,43.277641052128374","114.63089701578947,82.02172422912757","58.86348547368422,31.9639958969013"
2220,"58.59206687368422,43.27651910051652","105.11747363157895,85.74551947907524","59.216969363157894,32.442109493420595"
2230,"58.59206687368422,43.27651910051652","105.11747363157895,85.74551947907524","59.216969363157894,32.442109493420595"
2240,"60.12482604736842,43.27681648528111","111.94906524210529,87.110591886821","58.55778565789473,32.940066764231396"
2250,"58.84601147894737,43.0799545298695","109.96947338421052,81.40923064600581","59.76004590526315,32.94482492046478"
2260,"58.84601147894737,43.0799545298695","109.96947338421052,81.40923064600581","59.76004590526315,32.94482492046478"
2270,"50.18467402105263,43.059468774836276","112.58021817894736,81.19599870876023","59.46204546842105,28.18542507806519"
2280,"50.09275711052632,43.06078673004296","107.96482711578948,81.04585293848852","58.15483809473684,28.186175298721306"
2290,"50.09275711052632,43.06078673004296","107.96482711578948,81.04585293848852","58.15483809473684,28.186175298721306"
2300,"50.635817036842106,43.060638037660674","96.75358233157894,75.74359398255662","57.48824033684211,28.18606715880691"
2310,"49.725210663157895,42.95495830631807","111.40932477894737,78.97110445690431","56.50170640526315,28.186587582144938"
2320,"49.725210663157895,42.95495830631807","111.40932477894737,78.97110445690431","56.50170640526315,28.186587582144938"
2330,"38.47461891578947,42.952572469456726","111.41874972105263,75.46862005366863","56.19393225789473,28.186682204570033"
2340,"50.16253832105264,43.385774207778816","111.27150338947368,77.61093759624451","59.861157878947374,28.094688931143057"
2350,"51.95216831578948,44.01024841968722","103.62803573157896,78.03496948340917","48.0223354,28.004878732237934"
2360,"51.95216831578948,44.01024841968722","103.62803573157896,78.03496948340917","48.0223354,28.004878732237934"
2370,"51.8550972,44.89934776086507","110.89283287368421,79.02643736513643","48.27860788947368,28.006440002252013"
2380,"49.503839936842105,45.41472231663813","110.0982566736842,79.26639344801828","48.22781120000001,28.00583847397819"
2390,"49.503839936842105,45.41472231663813","110.0982566736842,79.26639344801828","48.22781120000001,28.00583847397819"
2400,"52.16433867894737,51.63953965649491","107.99832670526315,80.31672096603802","44.14346020526317,28.063713604413515"
2410,"50.515443810526314,46.45920519731243","108.02207332631578,80.77453738369852","49.96642743157895,23.226074533949074"
2420,"50.515443810526314,46.45920519731243","108.02207332631578,80.77453738369852","49.96642743157895,23.226074533949074"
2430,"61.26931672105263,47.32324987207386","103.52851685263158,81.18997070598513","50.98124811578948,23.224932306103273"
2440,"59.968845778947376,48.16662630569653","106.9372081,81.09037008541956","49.55417002631579,23.47560738641575"
2450,"59.968845778947376,48.16662630569653","106.9372081,81.09037008541956","49.55417002631579,23.47560738641575"
2460,"64.00430864210526,55.13717649522187","101.59794548947367,76.5374542330818","49.17090424736842,24.818867333074383"
2470,"64.5310009631579,55.483947406963686","100.1496708263158,76.56171867643629","50.13086672105263,25.41556310447255"
2480,"64.5310009631579,55.483947406963686","100.1496708263158,76.56171867643629","50.13086672105263,25.41556310447255"
2490,"69.88103395263157,55.59326334292782","102.25576872105263,76.56138609697283","50.033029,27.02250195614967"
2500,"71.54276978421052,49.61760712458198","103.20659680526315,77.01323687050763","50.76697542631579,27.77631826441926"
2510,"71.54276978421052,49.61760712458198","103.20659680526315,77.01323687050763","50.76697542631579,27.77631826441926"
2520,"63.64092766842105,49.44136609909658","106.3084486368421,81.07421226648678","52.300638131578935,29.04584030694974"
2530,"58.63463185263158,49.44197438611505","107.74250752105263,81.183048895902","50.04975167894737,29.574536348427344"
2540,"58.63463185263158,49.44197438611505","107.74250752105263,81.183048895902","50.04975167894737,29.574536348427344"
2550,"59.73094495263157,43.130888429549586","96.80580500526315,81.07275723133417","58.710100347368424,29.90774245965722"
2560,"60.08522062631579,43.128793218708175","98.20791844736841,80.88464890105699","61.43573904210526,30.568936931247414"
2570,"60.08522062631579,43.128793218708175","98.20791844736841,80.88464890105699","61.43573904210526,30.568936931247414"
2580,"61.196762873684214,48.40081004906376","92.75912388421054,80.88290285887385","61.32700565789473,27.338432716054932"
2590,"0.0,48.51598581663918","93.66781399473685,80.911227543178","56.63917808947368,28.008832597858007"
2600,"0.0,48.51598581663918","93.66781399473685,80.911227543178","56.63917808947368,28.008832597858007"
2610,"62.27027721578948,48.618049619594196","93.57858948421053,80.9123638563448","60.84370454210526,29.36924623843756"
2620,"67.86027084210527,48.62253742604159","93.35863334210526,80.91234307012833","61.34906401578947,30.088471291590018"
2630,"67.86027084210527,48.62253742604159","93.35863334210526,80.91234307012833","61.34906401578947,30.088471291590018"
2640,"70.06681893157895,48.623943244928725","97.71433548421051,84.73591215911212","60.90928052631579,30.91496438107776"
