,k8s-master,k8s-node01,k8s-node02
10,"0.7396982,4.907335245292078","0.39804909473684214,3.4384351415655665","0.5963408578947369,8.92619295391408"
20,"2.430812063157895,5.018516594779532","0.40905701052631577,3.4435762657714553","5.340124852631579,9.060786594868071"
30,"0.8339267368421053,5.0191992279891515","0.3366082894736842,3.444463144340665","11.351069057894737,9.131652032520105"
40,"0.8339267368421053,5.0191992279891515","0.3366082894736842,3.444463144340665","11.351069057894737,9.131652032520105"
50,"0.7869536684210525,5.019408749073292","0.32795942631578945,3.444040491272526","10.471400389473684,3.0984045510142275"
60,"0.8877723526315789,5.021517477403996","0.3409087947368421,3.4445809329006383","10.652114578947367,5.167695606687562"
70,"0.8877723526315789,5.021517477403996","0.3409087947368421,3.4445809329006383","10.652114578947367,5.167695606687562"
80,"0.817050647368421,5.019584476434184","0.34708433157894736,3.4449689422746674","11.299225878947366,6.598028460668195"
90,"0.8489851526315789,5.015495435921119","0.296126147368421,3.4449827997523115","13.732736884210524,9.733849422063125"
100,"0.8489851526315789,5.015495435921119","0.296126147368421,3.4449827997523115","13.732736884210524,9.733849422063125"
110,"0.8384054315789473,5.015968548046597","0.6255267000000001,3.4680624287682345","21.905546484210525,9.902608517221315"
120,"0.7410941684210525,5.009939747819072","5.409027342105263,3.5303032896058317","21.748955147368424,10.669448926430862"
130,"0.7410941684210525,5.009939747819072","5.409027342105263,3.5303032896058317","21.748955147368424,10.669448926430862"
140,"0.7050283578947368,5.010264167562257","10.33494437368421,5.571343456821243","21.8108672,11.454382495067637"
150,"0.8076612105263159,5.010169545137161","11.711030557894736,7.263306833447877","21.803637673684207,12.824461140496256"
160,"0.8076612105263159,5.010169545137161","11.711030557894736,7.263306833447877","21.803637673684207,12.824461140496256"
170,"0.7152875263157895,5.010135751413912","10.802394226315789,9.563862913239511","21.8552668,13.418852179968878"
180,"1.0211889,5.03708286633224","10.280996384210528,9.564812150458117","21.688464463157896,15.414952789830684"
190,"1.0211889,5.03708286633224","10.280996384210528,9.564812150458117","21.688464463157896,15.414952789830684"
200,"0.7350905210526315,5.034305022281216","20.401550136842108,9.670205196678834","21.9836124,15.91588390828735"
210,"0.7616437684210526,5.03157448944274","21.3991296,9.930261550883168","21.608796015789473,15.914653816761106"
220,"0.7616437684210526,5.03157448944274","21.3991296,9.930261550883168","21.608796015789473,15.914653816761106"
230,"6.082687489473684,6.689041716120965","20.86278799473684,11.171538182097095","21.746315168421052,15.915309414992127"
240,"10.294922463157894,8.843405090699987","20.837292410526317,11.70963096774873","21.68804715789474,15.914417260698366"
250,"10.294922463157894,8.843405090699987","20.837292410526317,11.70963096774873","21.68804715789474,15.914417260698366"
260,"10.795873731578949,8.843053635978203","21.165656405263157,12.902621218112472","21.673164015789478,15.91543107239582"
270,"10.966577905263158,8.844500007333238","21.65605522105263,13.686213077703519","21.71986712105263,15.916667922666715"
280,"10.966577905263158,8.844500007333238","21.65605522105263,13.686213077703519","21.71986712105263,15.916667922666715"
290,"10.768385036842105,8.844952843224767","33.44871187368421,14.793058318293928","21.707095289473685,15.916776062581109"
300,"10.843604921052632,8.844770357119225","38.551112415789476,15.748967912386929","21.615220136842105,15.914937684036392"
310,"10.843604921052632,8.844770357119225","38.551112415789476,15.748967912386929","21.615220136842105,15.914937684036392"
320,"9.943249836842105,8.844587871013683","43.17424868947368,25.372307119674076","21.97273424736842,15.920642064520734"
330,"10.969812905263158,8.842567006363426","40.164129315789474,25.894262872609385","21.646726810526314,15.953469287284294"
340,"10.969812905263158,8.842567006363426","40.164129315789474,25.894262872609385","21.646726810526314,15.953469287284294"
350,"10.89923122105263,8.843168534637249","40.96227627894737,27.071968325131902","21.9381464,15.915701422181808"
360,"10.753416099999999,8.843445643167886","45.817124810526316,27.710971262986448","20.633770510526315,15.927252116788134"
370,"10.753416099999999,8.843445643167886","45.817124810526316,27.710971262986448","20.633770510526315,15.927252116788134"
380,"10.553822668421054,8.84179650947336","57.27803990526316,29.517286545130585","21.717472242105263,15.927062871937942"
390,"11.121950415789474,8.868878799284682","60.87161978421053,30.614819560744287","21.76303237894737,15.915958254478497"
400,"11.121950415789474,8.868878799284682","60.87161978421053,30.614819560744287","21.76303237894737,15.915958254478497"
410,"11.921875457894735,13.445718189951409","61.154214531578944,32.51402151553551","21.72784024736842,15.915153963865183"
420,"21.26282777894737,13.647851966189785","62.30679549999999,33.13887596871564","21.77296325263158,15.930111065774954"
430,"21.26282777894737,13.647851966189785","62.30679549999999,33.13887596871564","21.77296325263158,15.930111065774954"
440,"21.800878057894735,13.644830807331372","62.123379015789475,34.39969857214629","21.660044626315788,15.91741138457818"
450,"21.50144299473684,10.008200384883473","61.62289886842105,35.10277848662625","21.713701136842108,15.917384349599581"
460,"21.50144299473684,10.008200384883473","61.62289886842105,35.10277848662625","21.713701136842108,15.917384349599581"
470,"21.814700878947367,10.01003200468354","67.19058385263158,36.020011860615114","21.762005978947368,15.917458695790728"
480,"21.096615384210526,10.010119868363986","82.15605139473685,36.79634933065958","21.68555361578947,15.917506007003276"
490,"21.096615384210526,10.010119868363986","82.15605139473685,36.79634933065958","21.68555361578947,15.917506007003276"
500,"21.6476299,10.010126627108635","81.49516732105262,39.618909664558274","21.792317610526315,15.917262692195887"
510,"21.493240131578947,10.010369941916025","81.78255355263158,41.6325258835164","21.65921277894737,15.91829002138264"
520,"21.493240131578947,10.010369941916025","81.78255355263158,41.6325258835164","21.65921277894737,15.91829002138264"
530,"21.681471157894737,10.005679373129137","80.00317779999999,45.02230742107422","21.620249736842105,15.9180805002985"
540,"21.69486235263158,10.005882135468628","83.09254067368421,47.09165841511612","21.785696994736842,15.91939845550519"
550,"21.69486235263158,10.005882135468628","83.09254067368421,47.09165841511612","21.785696994736842,15.91939845550519"
560,"21.12218557894737,10.00433438294385","85.05725425263157,54.246620559605134","21.62896245263158,15.918729339784871"
570,"21.662197731578946,10.005098121089263","93.5376773368421,56.109453564319935","21.779437663157893,15.919114588229903"
580,"21.662197731578946,10.005098121089263","93.5376773368421,56.109453564319935","21.779437663157893,15.919114588229903"
590,"21.915862289473683,10.032254757091732","103.71333341052632,56.16545163147895","21.73328876842105,15.91874285727417"
600,"23.342389710526316,10.044515119886274","99.18129996315791,56.086595654946315","21.702332794736844,15.917729045576715"
610,"23.342389710526316,10.044515119886274","99.18129996315791,56.086595654946315","21.702332794736844,15.917729045576715"
620,"31.96401536315789,10.132358524098338","94.1239856894737,56.058035393522225","21.852202136842106,15.918905067145763"
630,"32.22327852105263,10.132703220075472","94.92365076842107,56.08332529022235","21.70044867368421,15.919979707545064"
640,"32.22327852105263,10.132703220075472","94.92365076842107,56.08332529022235","21.70044867368421,15.919979707545064"
650,"31.745473136842104,11.402394231222196","93.21812434210527,56.083706370857556","21.805415115789472,15.919932396332516"
660,"32.14474440526316,12.575854236046588","88.94954703684209,56.204328785008926","21.69158772631579,9.891632315910213"
670,"32.132291252631575,13.721170828149658","102.65127404736843,57.380572273640006","21.68376782105263,9.891132168806136"
680,"32.132291252631575,13.721170828149658","102.65127404736843,57.380572273640006","21.68376782105263,9.891132168806136"
690,"24.24513554210526,13.522092004492944","103.56224783684212,59.20410547175669","21.853181105263157,9.892037840589195"
700,"21.697093768421052,13.549424367856302","105.76399215263157,60.412491379782814","21.67991594210526,9.89016566832123"
710,"21.697093768421052,13.549424367856302","105.76399215263157,60.412491379782814","21.67991594210526,9.89016566832123"
720,"24.62445207368421,17.079665390773382","110.3261708736842,60.92270984915373","21.653151705263156,9.890550916766262"
730,"22.453768031578946,19.600467624024823","109.56129317368422,61.826903336679685","20.736026173684213,9.890659056680658"
740,"22.453768031578946,19.600467624024823","109.56129317368422,61.826903336679685","20.736026173684213,9.890659056680658"
750,"29.545007910526316,19.781581704402655","104.50576410526315,62.29963040028502","22.289044731578944,9.918734881955483"
760,"31.98342866842105,19.781635774359852","101.31897492105263,62.818094068854066","22.427237478947372,12.520608257279996"
770,"31.98342866842105,19.781635774359852","101.31897492105263,62.818094068854066","22.427237478947372,12.520608257279996"
780,"32.35027937894737,15.183952415193469","97.19122077368422,63.70897052036422","31.192414578947368,13.969845320045822"
790,"32.23723926842106,15.18126243482289","103.33713449473686,64.21250968551078","32.06315795263158,13.971778321015634"
800,"32.23723926842106,15.18126243482289","103.33713449473686,64.21250968551078","32.06315795263158,13.971778321015634"
810,"31.755956805263157,15.178295345921676","102.19235437368421,65.13574334731945","32.158801563157894,13.97073071559493"
820,"31.8610593631579,15.180458144209577","106.19474847894736,69.84739660606814","31.896162152631582,13.974637270002454"
830,"31.8610593631579,15.180458144209577","106.19474847894736,69.84739660606814","31.896162152631582,13.974637270002454"
840,"32.18487882105263,15.186689706776594","105.44479248947368,68.04307680070474","32.45223550526316,13.97494817225634"
850,"32.21786950526316,15.187831934622393","110.10143307894737,70.03077953646876","32.19089941578948,13.975326661956723"
860,"32.21786950526316,15.187831934622393","110.10143307894737,70.03077953646876","32.19089941578948,13.975326661956723"
870,"31.947957431578942,15.185141954251815","111.14501713684211,65.61704126084754","32.05038327368421,13.972183845694616"
880,"32.22891372631579,15.18415517753296","111.16694686315788,65.57792853019762","32.24111664736842,13.97208246452487"
890,"32.22891372631579,15.18415517753296","111.16694686315788,65.57792853019762","32.24111664736842,13.97208246452487"
900,"32.13854038421053,15.18481077576398","105.51174202631579,65.57387521798678","31.882812557894738,10.116211883130221"
910,"32.227528515789466,15.183776687832577","111.87226790526316,65.60177032048396","32.30152694210526,10.115056137795124"
920,"32.227528515789466,15.183776687832577","111.87226790526316,65.60177032048396","32.30152694210526,10.115056137795124"
930,"32.24064490526315,15.18414841878831","110.80067463684209,68.81817402650007","32.17039038947368,10.116056432003278"
940,"31.846326989473685,15.212082310425492","110.76524950526317,70.60452761209817","32.13847833157895,10.11581311719589"
950,"31.846326989473685,15.212082310425492","110.76524950526317,70.60452761209817","32.13847833157895,10.11581311719589"
960,"31.90454988421053,15.210352071795171","110.91874971578946,72.28746284203979","32.540428152631584,10.110777852431868"
970,"34.367879599999995,20.670356625837314","111.13652098421053,73.62227744735007","32.21772082631579,10.112602713487284"
980,"34.367879599999995,20.670356625837314","111.13652098421053,73.62227744735007","32.21772082631579,10.112602713487284"
990,"41.758403994736845,20.80071253389595","111.19543116842102,75.5151673210745","32.30073602105263,10.113325899164801"
