,k8s-master,k8s-node01,k8s-node02
10,"1.0491681526315788,5.616415422725346","0.35994205263157897,3.305077705459451","0.5890890157894737,2.1355402707296274"
20,"0.9201154789473682,5.616530321384391","0.3411297631578947,3.3050292042876976","0.6136265315789473,2.1226107922147643"
30,"1.2730939263157894,5.623917629286506","0.3729699000000001,3.304059180852624","0.5698375105263157,2.135749791813768"
40,"1.2730939263157894,5.623917629286506","0.3729699000000001,3.304059180852624","0.5698375105263157,2.135749791813768"
50,"0.9360768842105264,5.624093356647398","0.38183662631578946,3.3036434565233073","0.578286152631579,2.123327219147632"
60,"0.9719380999999999,5.62338368845918","0.3755672,3.3038998198597196","0.605128752631579,2.1234421178066767"
70,"0.9719380999999999,5.62338368845918","0.3755672,3.3038998198597196","0.605128752631579,2.1234421178066767"
80,"0.8942420105263158,5.622768642696058","0.3520755105263158,3.3039206060761854","0.5147523105263158,2.123029834383045"
90,"1.1121330947368422,5.622261736847331","0.3611271789473684,3.3036988864338825","0.5895044894736843,2.124570828163175"
100,"1.1121330947368422,5.622261736847331","0.3611271789473684,3.3036988864338825","0.5895044894736843,2.124570828163175"
110,"0.9165402789473683,5.622376635506376","0.33978223684210535,3.3038513186879657","0.5787210421052633,2.1255981573499287"
120,"1.0034155578947368,5.623762178159563","0.3640293842105263,3.3041146107632","0.6206764842105263,2.1226310684487135"
130,"1.0034155578947368,5.623762178159563","0.3640293842105263,3.3041146107632","0.6206764842105263,2.1226310684487135"
140,"0.9096055368421052,5.6243704651780355","0.35833424210526316,3.304003750942049","0.5299181000000001,2.1227865195756563"
150,"0.9802423736842105,5.6243704651780355","0.36654930526315793,3.30351181048569","0.5754305052631579,2.12380709001776"
160,"0.9802423736842105,5.6243704651780355","0.36654930526315793,3.30351181048569","0.5754305052631579,2.12380709001776"
170,"0.9145784473684211,5.623883835563257","0.3608336052631579,3.303373235709251","0.5055173368421053,2.1221376800892857"
180,"0.8489065736842105,5.624066321668799","0.38810413157894735,3.3038582474267875","0.6347455315789474,2.1217456728996034"
190,"0.8489065736842105,5.624066321668799","0.38810413157894735,3.3038582474267875","0.6347455315789474,2.1217456728996034"
200,"0.9458982157894736,5.624667849942622","0.38837248421052634,3.304086895807912","0.5839072315789474,2.1219078827711964"
210,"1.026627752631579,5.623735143180964","0.3759739578947368,3.3050292042876976","1.0764181631578948,2.1726187438778446"
220,"1.026627752631579,5.623735143180964","0.3759739578947368,3.3050292042876976","1.0764181631578948,2.1726187438778446"
230,"3.260589778947368,10.150485477248814","4.33877172631579,3.4232127023737373","4.276730842105263,3.3748980358885285"
240,"6.669341978947369,18.253334916681915","8.562524563157893,16.503777790911588","10.165775063157895,13.03259668198356"
250,"6.669341978947369,18.253334916681915","8.562524563157893,16.503777790911588","10.165775063157895,13.03259668198356"
260,"5.1836386315789476,18.64649109295457","34.922539005263154,19.214238059409915","26.170947905263155,19.418920983989413"
270,"13.630617684210527,18.806159676558924","51.520220478947365,20.183083608883504","21.676163515789476,19.92400873040564"
280,"13.630617684210527,18.806159676558924","51.520220478947365,20.183083608883504","21.676163515789476,19.92400873040564"
290,"17.537516042105263,18.797549035875214","52.713007821052635,24.28746755358219","34.22980167894737,15.35024456855452"
300,"19.40096800526316,18.798333050254577","52.75123199473684,26.679413698435372","42.52586580526316,18.178596718345606"
310,"19.40096800526316,18.798333050254577","52.75123199473684,26.679413698435372","42.52586580526316,18.178596718345606"
320,"19.430530526315792,18.79500098914228","52.30064506842105,29.14214383909362","40.38823164210527,18.59494214751136"
330,"14.274964842105263,5.6266549208696315","49.96514246842105,3.3109671334581106","38.68264158421052,2.179262589868493"
340,"14.274964842105263,5.6266549208696315","49.96514246842105,3.3109671334581106","38.68264158421052,2.179262589868493"
350,"0.979276757894737,5.624350188944086","0.6181113105263158,3.2981697528539646","0.7167676736842105,2.1776066974293182"
360,"0.951928105263158,5.624329912710137","0.36904035263157897,3.293375065589174","0.6029520157894738,2.1690704029367556"
370,"0.951928105263158,5.624329912710137","0.36904035263157897,3.293375065589174","0.6029520157894738,2.1690704029367556"
380,"0.9018301684210526,5.624350188944086","0.38354443157894735,3.2915666647566444","0.6142136368421053,2.159824440255975"
390,"2.5113711684210527,5.716870644453737","0.36266710526315793,3.291483519890781","0.5972552315789474,2.159344569385847"
400,"2.5113711684210527,5.716870644453737","0.36266710526315793,3.291483519890781","0.5972552315789474,2.159344569385847"
410,"0.9738288789473685,5.715363444396855","0.36638512631578946,3.289744406446471","0.6469899842105263,2.1117427308180576"
420,"0.9835552789473686,5.713923831786471","0.39248965789473683,3.2899799835664174","0.5688036999999999,2.1105599505043613"
430,"0.9835552789473686,5.713923831786471","0.39248965789473683,3.2899799835664174","0.5688036999999999,2.1105599505043613"
440,"0.9627554315789473,5.713788656893477","0.3551675368421052,3.2894880431100586","0.6235291157894737,2.108775641916842"
450,"1.0570812105263157,5.713633205766534","0.36896129999999994,3.2887328105784657","0.574317552631579,2.1085931558113002"
460,"1.0570812105263157,5.713633205766534","0.36896129999999994,3.2887328105784657","0.574317552631579,2.1085931558113002"
470,"0.9374211421052632,5.702961147964668","0.3859993368421052,3.2793859419076523","0.6003780210526316,2.1080254212607263"
480,"0.9728386947368423,5.703238256495306","0.34560233157894743,3.2805638275073843","0.5676426578947368,2.107126508222317"
490,"0.9728386947368423,5.703238256495306","0.34560233157894743,3.2805638275073843","0.5676426578947368,2.107126508222317"
500,"1.0092038052631578,5.702961147964668","0.367957752631579,3.278956360100691","0.6210807789473684,2.107565826624547"
510,"0.9150375842105264,5.703069287879063","0.36513965789473685,3.2790741486606643","0.5474354631578947,2.107369823029706"
520,"0.9150375842105264,5.703069287879063","0.36513965789473685,3.2790741486606643","0.5474354631578947,2.107369823029706"
530,"0.9625108,5.703826267279829","0.3865977263157895,3.276683733767091","0.6404522684210526,2.1077956239426365"
540,"0.9407909315789474,5.704630557893142","0.3796012894736842,3.2768500234988176","0.6267578736842105,2.1079105226016814"
550,"0.9407909315789474,5.704630557893142","0.3796012894736842,3.2768500234988176","0.6267578736842105,2.1079105226016814"
560,"0.9301497052631578,5.705360502315309","0.3944212578947368,3.2773766076492863","0.6440276157894737,2.108207907366268"
570,"1.0153478947368422,5.70468462785034","0.37468682105263157,3.278090267747947","0.5302651789473685,2.109985457209137"
580,"1.0153478947368422,5.70468462785034","0.37468682105263157,3.278090267747947","0.5302651789473685,2.109985457209137"
590,"0.9469882210526316,5.7039073722156255","0.3734935315789474,3.278429775950223","0.6569507052631579,2.1077956239426365"
600,"0.8713628368421054,5.704116893299766","0.4038938315789473,3.277632970985698","0.5816412842105263,2.108620190789899"
