,k8s-master,k8s-node01,k8s-node02
10,"4.851599670886076,9.570852943867205","19.831927164556962,7.555539004595456","19.25293956962025,2.5936630057826893"
20,"5.492815979746835,4.626696334294845","4.36520529113924,2.625539013445832","0.7887042835443038,2.592460479574096"
30,"1.149102698734177,4.640641652039807","1.004899959493671,2.646044654505478","1.1937138481012657,2.6381764068742775"
40,"1.149102698734177,4.640641652039807","1.004899959493671,2.646044654505478","1.1937138481012657,2.6381764068742775"
50,"1.16089062278481,4.640382544182707","0.9576299544303797,7.687811282200988","1.5111292101265823,7.373664822195206"
60,"0.9711492151898734,4.639166730391698","4.490863984810127,7.795642905289877","9.7229497721519,8.988285468028847"
70,"0.9711492151898734,4.639166730391698","4.490863984810127,7.795642905289877","9.7229497721519,8.988285468028847"
80,"0.7996992455696202,4.639545426490536","10.569860643037975,7.8652136708903155","20.707426460759493,11.073020779719322"
90,"0.9440350936708861,4.643963547643657","10.52652005063291,7.865792349339874","20.790780830379745,13.194423175085092"
100,"0.9440350936708861,4.643963547643657","10.52652005063291,7.865792349339874","20.790780830379745,13.194423175085092"
110,"0.9980320658227849,4.642867322094386","10.534579817721518,7.866452723570546","20.346276749367085,13.202448874863993"
120,"4.728469534177215,4.828142727503509","11.515836369620255,7.911610066581381","20.954228967088607,13.202156548050855"
130,"4.728469534177215,4.828142727503509","11.515836369620255,7.911610066581381","20.954228967088607,13.202156548050855"
140,"10.904515848101264,5.835168736019387","15.946592820253164,17.8869100279597","21.116626511392408,13.203990234424179"
150,"10.950796334177214,8.744438399332644","19.551783681012658,18.839394331987553","20.99498475443038,13.197299936678027"
160,"10.950796334177214,8.744438399332644","19.551783681012658,18.839394331987553","20.99498475443038,13.197299936678027"
170,"10.875485863291138,8.744292235926075","19.900920248101265,18.840020666309428","20.723642227848103,13.198708420414059"
180,"10.955299443037974,8.74416600389313","28.861403534177214,19.04325253779434","20.790280875949367,13.19775171448015"
190,"10.955299443037974,8.74416600389313","28.861403534177214,19.04325253779434","20.790280875949367,13.19775171448015"
200,"10.867361326582278,8.745395105266553","30.562899974683543,19.043742712481027","21.067005584810122,13.199067185139274"
210,"11.072480501265826,8.766190171746654","30.855094562025318,19.07163501374974","23.461902040506327,16.039128475441924"
220,"11.072480501265826,8.766190171746654","30.855094562025318,19.07163501374974","23.461902040506327,16.039128475441924"
230,"10.970530987341771,8.766289828614768","40.31310287594937,20.80876644748823","32.59303460759493,17.49754030240013"
240,"10.869205043037972,8.74777358251891","39.96649619746835,21.414288769124386","41.36560553417721,17.585816356176835"
250,"10.869205043037972,8.74777358251891","39.96649619746835,21.414288769124386","41.36560553417721,17.585816356176835"
260,"1.0922889012658228,8.604865633641289","40.864037326582284,22.908674805245766","41.122087144303805,17.626742110016266"
270,"0.8629234177215191,8.604958646718197","40.94214346835443,23.501527472827473","41.42729464810127,17.962711987598432"
280,"0.8629234177215191,8.604958646718197","40.94214346835443,23.501527472827473","41.42729464810127,17.962711987598432"
290,"0.9281194987341771,8.602387499520816","40.7015069164557,25.01445164328","41.18398772658228,18.709992335058082"
300,"5.01522088607595,8.73144978752159","40.929479311392406,25.041778882062676","41.98594381772152,19.413277497140346"
