,k8s-master,k8s-node01,k8s-node02
10,"0.9201062935323383,3.6646174973634102","0.38425560696517413,2.244334596485128","0.6183200298507462,2.2224561612005864"
20,"1.8961827512437812,3.880551372505566","0.3609080646766169,2.243733920528951","0.750463935323383,2.221856674269171"
30,"0.9640464975124379,3.884266873926647","0.4163383830845771,2.2438014122094203","0.7558232437810946,2.2218039721213545"
40,"0.9640464975124379,3.884266873926647","0.4163383830845771,2.2438014122094203","0.7558232437810946,2.2218039721213545"
50,"0.9384140099502487,3.8860323958785075","0.3948416218905472,2.2435786896638716","0.7837379054726369,2.2210332032095343"
60,"0.7744544079601989,3.8867899892533733","0.3954082388059701,2.2435314454875432","0.6337644228855721,2.2216853922887667"
70,"0.7744544079601989,3.8867899892533733","0.3954082388059701,2.2435314454875432","0.6337644228855721,2.2216853922887667"
80,"2.6429162238805968,3.8883578781509214","0.35357354228855725,2.243902649730124","0.746165407960199,2.221211072958416"
90,"1.0576406169154229,3.9156510029515177","0.4000724029850746,2.243963392242547","0.6322388407960199,2.2219818418702357"
100,"1.0576406169154229,3.9156510029515177","0.4000724029850746,2.243963392242547","0.6322388407960199,2.2219818418702357"
110,"1.109692567164179,3.8970471447722073","0.36838026865671636,2.244125372275673","0.7815975721393035,2.221784208815923"
120,"0.9095800995024876,3.8966979930429213","0.3460963184079602,2.2440848772673916","0.5967270895522389,2.222350756904953"
130,"0.9095800995024876,3.8966979930429213","0.3460963184079602,2.2440848772673916","0.5967270895522389,2.222350756904953"
140,"0.8979703781094528,3.897521464102558","0.3640716019900498,2.244240108132471","0.6759302039800994,2.2217446822050606"
150,"0.9282633930348261,3.8968758627918025","0.3880070646766169,2.244294101476846","0.6080125522388059,2.2228184884668267"
160,"0.9282633930348261,3.8968758627918025","0.3880070646766169,2.244294101476846","0.6080125522388059,2.2228184884668267"
170,"0.8409115024875621,3.8971986634471802","0.36132444776119405,2.2441861147880955","0.8178533731343282,2.2223639324419073"
180,"0.9247025621890547,3.896599176515765","0.4230241044776119,2.2441388706117666","0.5966116467661692,2.222726259708147"
190,"0.9247025621890547,3.896599176515765","0.4230241044776119,2.2441388706117666","0.5966116467661692,2.222726259708147"
200,"0.8795436318407959,3.8972184267526115","0.3564228009950248,2.2443480948212216","0.7728550497512438,2.222291466988659"
210,"1.0098570746268656,3.9004793721487725","0.38272660199004976,2.2440713789312974","0.6253537114427862,2.2231149380482957"
220,"1.0098570746268656,3.9004793721487725","0.38272660199004976,2.2440713789312974","0.6253537114427862,2.2231149380482957"
230,"0.9385981243781094,3.901335782050795","0.39565902487562193,2.243261478765666","0.8072676865671642,2.2223836957473386"
240,"0.916300631840796,3.9010854468486653","0.3937341990049751,2.24327497710176","0.6188154029850746,2.22235734467343"
250,"0.916300631840796,3.9010854468486653","0.3937341990049751,2.24327497710176","0.6188154029850746,2.22235734467343"
260,"0.8454909850746268,3.9011183856910505","0.36227305472636817,2.243220983757385","0.7859916119402985,2.2215536369192246"
270,"0.9661901044776121,3.9005320742965894","0.39985173134328356,2.2431602412449623","0.6171653233830845,2.221797384352877"
280,"0.9661901044776121,3.9005320742965894","0.39985173134328356,2.2431602412449623","0.6171653233830845,2.221797384352877"
290,"1.912859258706468,3.877435358015901","0.3823983432835821,2.2436056863360596","0.7914777711442786,2.221059554283443"
300,"0.9361487213930348,3.877349717025699","0.4921970099502488,2.2450095132898205","0.5822305820895523,2.221975254101759"
310,"0.9361487213930348,3.877349717025699","0.4921970099502488,2.2450095132898205","0.5822305820895523,2.221975254101759"
320,"0.8728410995024874,3.87684904662144","0.3560244378109453,2.243558442159731","0.7508339701492538,2.2212242484953704"
330,"0.9362319900497513,3.8765394215030167","0.3884379950248756,2.243565191327778","0.6182114776119403,2.221850086500694"
340,"0.9362319900497513,3.8765394215030167","0.3884379950248756,2.243565191327778","0.6182114776119403,2.221850086500694"
350,"1.6208612487562186,3.9920164151379804","0.387225631840796,2.2437001746887164","0.7994405721393035,2.221356003864912"
360,"0.9545706318407959,3.8752482188815063","0.39846465671641784,2.243821659713561","0.5714687014925374,2.221738094436583"
370,"0.9545706318407959,3.8752482188815063","0.39846465671641784,2.243821659713561","0.5714687014925374,2.221738094436583"
380,"0.8974149303482588,3.876308849606318","0.3721411243781094,2.2435786896638716","0.7221936965174129,2.2208948600715157"
390,"0.8843883930348259,3.876776581168192","0.4147620298507463,2.243673178016529","0.6448576169154228,2.2216722167518124"
400,"0.8843883930348259,3.876776581168192","0.4147620298507463,2.243673178016529","0.6448576169154228,2.2216722167518124"
