,k8s-master,k8s-node01,k8s-node02
10,"1.1048675820895522,4.054560689059502","0.6106896119402985,2.3779951204864855","15.10613764676617,2.4694843035546215"
20,"2.7565147512437806,4.3711095521523","0.574255935323383,2.419259533925402","0.7463213184079601,2.473687299843007"
30,"2.7565147512437806,4.3711095521523","0.574255935323383,2.419259533925402","0.7463213184079601,2.473687299843007"
40,"1.216950616915423,4.383679014406593","0.4299285870646766,2.4109648063957274","1.82489147761194,2.518648819699167"
50,"1.0059633134328358,4.380556412148451","0.6721551044776121,5.949472623383397","0.7063139552238807,2.5212312249421873"
60,"1.0059633134328358,4.380556412148451","0.6721551044776121,5.949472623383397","0.7063139552238807,2.5212312249421873"
70,"0.9822862039800996,4.381281066680931","0.39278482089552236,5.948426502336123","6.796547154228855,8.202977315612149"
80,"0.9334180696517413,4.380674991981039","2.7109612039801,6.0598687651269945","16.37851507960199,8.444320213770451"
90,"0.9334180696517413,4.380674991981039","2.7109612039801,6.0598687651269945","16.37851507960199,8.444320213770451"
100,"1.5664910447761196,4.408317268510921","12.932073213930348,10.426472504800515","20.68461995024876,10.247247515044322"
110,"1.5518017661691546,4.494109777388104","20.214471527363184,10.514515401972687","20.564156537313433,12.926921159629075"
120,"1.5518017661691546,4.494109777388104","20.214471527363184,10.514515401972687","20.564156537313433,12.926921159629075"
130,"10.801894422885574,4.581529465079129","20.13262363681592,10.516020466447152","20.599095661691543,12.928568101748347"
140,"10.7314104079602,7.1891856246723","28.632294870646767,14.261127066519327","20.450865233830847,12.926295321623751"
150,"10.7314104079602,7.1891856246723","28.632294870646767,14.261127066519327","20.450865233830847,12.926295321623751"
160,"10.881118731343285,9.086120382114288","30.118414253731345,14.260742363940652","27.005188616915422,13.041271644854456"
170,"10.796545820895522,9.087530164568385","40.208607676616914,17.392869274486706","30.40068755721393,16.91894416253553"
180,"10.796545820895522,9.087530164568385","40.208607676616914,17.392869274486706","30.40068755721393,16.91894416253553"
190,"10.666498313432836,9.085896397986067","40.19925743283582,19.113198463808363","30.65007383084577,18.1746782385651"
200,"10.83531295522388,9.092055961512148","40.624455711442785,19.303525002731725","39.560357616915425,23.85998172421269"
210,"10.83531295522388,9.092055961512148","40.624455711442785,19.303525002731725","39.560357616915425,23.85998172421269"
220,"10.523574860696517,9.141925368883744","40.07360824875622,19.30233039998742","40.51963178606965,24.554312758392868"
230,"12.71392262686567,20.53782937113096","40.05648744776119,19.306339405807293","38.57321260696517,24.557329956355375"
240,"12.71392262686567,20.53782937113096","40.05648744776119,19.306339405807293","38.57321260696517,24.557329956355375"
250,"10.780120004975123,20.53590574273565","40.552660611940304,20.660512730247024","40.43539255721393,24.55670411835005"
260,"23.522303074626862,20.931310194499254","44.604843761194026,26.016153053853433","40.50731470646766,24.557501238335778"
270,"23.522303074626862,20.931310194499254","44.604843761194026,26.016153053853433","40.50731470646766,24.557501238335778"
280,"34.45779289552239,21.011595328929587","50.392527746268655,26.17760665187204","40.88919737810945,24.569563442417337"
290,"39.642503781094526,24.546367909609494","52.70577774129354,32.64430851769979","40.31015647761193,24.56870044474684"
300,"39.642503781094526,24.546367909609494","52.70577774129354,32.64430851769979","40.31015647761193,24.56870044474684"
310,"40.121245552238804,26.48493736382671","55.643318189054725,32.81176212611212","36.215124144278604,24.396186551637204"
320,"40.50597910945274,26.48516134795493","60.16259475621891,32.81091848010625","30.83608454726368,30.045112379754286"
330,"40.50597910945274,26.48516134795493","60.16259475621891,32.81091848010625","30.83608454726368,30.045112379754286"
340,"40.40464292537314,26.48728919717303","60.40759962686568,32.83597139189645","43.7838618159204,30.235650407417246"
350,"40.389338412935324,26.486472313881873","59.659705338308456,32.83738871718631","56.239737656716414,33.00747375745958"
360,"40.389338412935324,26.486472313881873","59.659705338308456,32.83738871718631","56.239737656716414,33.00747375745958"
370,"40.453891721393035,26.489028368050985","65.24782408955224,32.93971285394578","60.4150912437811,37.988538205137445"
380,"40.47058158208956,26.49221026022542","70.15419880099503,32.94045526243094","60.49684220895522,40.635984486332255"
390,"40.47058158208956,26.49221026022542","70.15419880099503,32.94045526243094","60.49684220895522,40.635984486332255"
400,"40.57487734825871,26.51360074447054","70.7612010199005,36.58060555020534","60.82173929850746,40.655616036393994"
