95,1,24.76
95,2,24.76
95,3,24.76
155,4,24.36
155,5,24.12
155,6,23.96
215,7,19.11
215,8,19.76
215,9,20.26
275,10,20.58
275,11,17.80
275,12,18.27
335,13,16.10
335,14,16.82
335,15,17.44
395,16,18.13
395,17,16.47
395,18,17.14
455,19,17.03
455,20,15.68
455,21,15.65
515,22,16.18
515,23,15.05
515,24,15.56
575,25,14.40
575,26,13.32
575,27,12.32
635,28,9.53
635,29,6.93
635,30,4.50
695,31,0.69
695,32,-2.88
696,33,-6.23
755,34,-9.49
756,35,-12.55
756,36,-15.45
815,37,-14.76
816,38,-18.29
816,39,-17.57
876,40,-20.92
876,41,-24.10
876,42,-27.14
936,43,-29.98
936,44,-32.69
936,45,-35.28
