,k8s-master,k8s-node01,k8s-node02
10,"2.067275836842105,4.553264889328598","0.44033156315789473,2.690526286907573","0.6695798,2.6546253773153685"
20,"1.6909661,4.61954789810814","0.43510935789473687,2.6905193581687508","0.7716131842105263,2.656294787243843"
30,"1.6909661,4.61954789810814","0.43510935789473687,2.6905193581687508","0.7716131842105263,2.656294787243843"
40,"1.1868304,4.623420658792414","0.40752470526315787,2.6908588663710264","0.6569281052631579,2.6547402759744134"
50,"1.120391752631579,4.622129738564323","0.4435164157894737,2.6903114960040924","0.801789147368421,2.6538413629360043"
60,"1.120391752631579,4.622129738564323","0.4435164157894737,2.6903114960040924","0.801789147368421,2.6538413629360043"
70,"1.0042909526315789,4.62217029103222","0.426369,2.6904639282581755","0.6648396105263158,2.6640267911230917"
80,"1.0710413,4.622082427351774","0.4043253894736842,2.692265400351883","0.7760252789473685,2.6558825038202114"
90,"1.0710413,4.622082427351774","0.4043253894736842,2.692265400351883","0.7760252789473685,2.6558825038202114"
100,"1.0616511210526316,4.621568762758398","0.434637147368421,2.6923554739565683","0.709130405263158,2.6563218222224414"
110,"1.2907910631578947,4.626157950375539","0.44556265789473676,2.6918288898061","0.8096204263157895,2.6594916734631475"
120,"1.2907910631578947,4.626157950375539","0.44556265789473676,2.6918288898061","0.8096204263157895,2.6594916734631475"
130,"2.0380939,4.734020756239994","0.4615167368421052,2.6924940487330074","1.457191305263158,2.706566329948261"
140,"1.331971405263158,4.734629043258466","3.551080321052632,4.001582246797381","5.108504389473684,9.110686406616757"
150,"1.331971405263158,4.734629043258466","3.551080321052632,4.001582246797381","5.108504389473684,9.110686406616757"
160,"0.9755782263157895,4.733547644114515","10.411031905263156,7.0852243882460595","9.57056714736842,9.310441104738441"
170,"0.8777612315789474,4.734568214556619","10.2876623,9.730464438213353","11.386000857894738,9.31115753167131"
180,"0.8777612315789474,4.734568214556619","10.2876623,9.730464438213353","11.386000857894738,9.31115753167131"
190,"0.9092970842105262,4.734176207366937","10.613227384210527,9.731912544627141","17.375256768421053,15.56202307340801"
200,"0.9480204421052632,4.733932892559548","10.561865805263158,9.733956522579616","20.37377480526316,15.603373073174833"
