,k8s-master,k8s-node01,k8s-node02
10,"0.9018301684210526,5.624350188944086","0.38354443157894735,3.2915666647566444","0.6142136368421053,2.159824440255975"
20,"2.5113711684210527,5.716870644453737","0.36266710526315793,3.291483519890781","0.5972552315789474,2.159344569385847"
30,"0.9738288789473685,5.715363444396855","0.36638512631578946,3.289744406446471","0.6469899842105263,2.1117427308180576"
40,"0.9738288789473685,5.715363444396855","0.36638512631578946,3.289744406446471","0.6469899842105263,2.1117427308180576"
50,"0.9835552789473686,5.713923831786471","0.39248965789473683,3.2899799835664174","0.5688036999999999,2.1105599505043613"
60,"0.9627554315789473,5.713788656893477","0.3551675368421052,3.2894880431100586","0.6235291157894737,2.108775641916842"
70,"0.9627554315789473,5.713788656893477","0.3551675368421052,3.2894880431100586","0.6235291157894737,2.108775641916842"
80,"1.0570812105263157,5.713633205766534","0.36896129999999994,3.2887328105784657","0.574317552631579,2.1085931558113002"
90,"0.9374211421052632,5.702961147964668","0.3859993368421052,3.2793859419076523","0.6003780210526316,2.1080254212607263"
100,"0.9374211421052632,5.702961147964668","0.3859993368421052,3.2793859419076523","0.6003780210526316,2.1080254212607263"
110,"0.9728386947368423,5.703238256495306","0.34560233157894743,3.2805638275073843","0.5676426578947368,2.107126508222317"
120,"1.0092038052631578,5.702961147964668","0.367957752631579,3.278956360100691","0.6210807789473684,2.107565826624547"
130,"1.0092038052631578,5.702961147964668","0.367957752631579,3.278956360100691","0.6210807789473684,2.107565826624547"
140,"0.9150375842105264,5.703069287879063","0.36513965789473685,3.2790741486606643","0.5474354631578947,2.107369823029706"
150,"0.9625108,5.703826267279829","0.3865977263157895,3.276683733767091","0.6404522684210526,2.1077956239426365"
160,"0.9625108,5.703826267279829","0.3865977263157895,3.276683733767091","0.6404522684210526,2.1077956239426365"
170,"0.9407909315789474,5.704630557893142","0.3796012894736842,3.2768500234988176","0.6267578736842105,2.1079105226016814"
180,"0.9301497052631578,5.705360502315309","0.3944212578947368,3.2773766076492863","0.6440276157894737,2.108207907366268"
190,"0.9301497052631578,5.705360502315309","0.3944212578947368,3.2773766076492863","0.6440276157894737,2.108207907366268"
200,"1.0153478947368422,5.70468462785034","0.37468682105263157,3.278090267747947","0.5302651789473685,2.109985457209137"
210,"0.9469882210526316,5.7039073722156255","0.3734935315789474,3.278429775950223","0.6569507052631579,2.1077956239426365"
220,"0.9469882210526316,5.7039073722156255","0.3734935315789474,3.278429775950223","0.6569507052631579,2.1077956239426365"
230,"0.8713628368421054,5.704116893299766","0.4038938315789473,3.277632970985698","0.5816412842105263,2.108620190789899"
240,"1.014519163157895,5.704562970446646","0.37225761578947375,3.277702258373918","0.6695864315789474,2.1093366177227666"
250,"1.014519163157895,5.704562970446646","0.37225761578947375,3.277702258373918","0.6695864315789474,2.1093366177227666"
260,"0.8898042210526317,5.704752215296837","0.38883488421052625,3.2780417665761936","0.5592545999999999,2.1092757890209195"
270,"0.8840713368421053,5.704062823342568","0.37207339473684214,3.2782080563079203","0.6071086842105262,2.109525862572958"
280,"0.8840713368421053,5.704062823342568","0.37207339473684214,3.2782080563079203","0.6071086842105262,2.109525862572958"
290,"1.080537489473684,5.704211515724862","0.3585145736842105,3.27852677829373","0.5968991631578947,2.1091270966386264"
300,"1.0086097210526315,5.704252068192759","0.3742125421052632,3.278796999107786","0.6288170578947369,2.109728624912449"
310,"1.0086097210526315,5.704252068192759","0.3742125421052632,3.278796999107786","0.6288170578947369,2.109728624912449"
320,"1.0357945315789474,5.704326414383906","0.36801868421052636,3.279108792354774","0.5130174421052632,2.109728624912449"
330,"1.0117815421052632,5.704515659234097","0.3352348842105263,3.2799818134463403","1.1492564105263157,2.1097826948696463"
340,"1.0117815421052632,5.704515659234097","0.3352348842105263,3.2799818134463403","1.1492564105263157,2.1097826948696463"
350,"1.1266592631578949,5.704623799148493","0.36421365789473686,3.278138768919701","0.5551191631578948,2.1088702643419377"
360,"1.9250940578947364,7.726218393828942","2.1546910263157892,3.4587432750527087","1.4839097631578948,2.1678605876444608"
370,"1.9250940578947364,7.726218393828942","2.1546910263157892,3.4587432750527087","1.4839097631578948,2.1678605876444608"
380,"8.199689815789473,14.615291916602228","12.284011010526317,3.6218804306155747","6.041923868421051,7.526098723496174"
390,"14.434528284210526,15.44281909402137","27.524193494736846,5.350406762005651","8.719097736842107,7.567448723262998"
400,"14.434528284210526,15.44281909402137","27.524193494736846,5.350406762005651","8.719097736842107,7.567448723262998"
