,k8s-master,k8s-node01,k8s-node02
10,"12.42133422631579,7.431395193464672","31.002534905263154,18.93056856330037","21.484788463157894,15.605792703759423"
20,"14.94220525263158,8.558706489820958","31.019922484210525,18.93334005882915","21.16415465263158,15.6073945262414"
30,"14.94220525263158,8.558706489820958","31.019922484210525,18.93334005882915","21.16415465263158,15.6073945262414"
40,"9.18514764736842,4.723666359436664","30.247877078947365,2.725204624711444","14.417884363157896,2.7143861975079564"
50,"1.5845087736842105,4.728654312988137","0.6288209,2.729860737199796","3.577880752631579,12.179940491956858"
60,"1.5845087736842105,4.728654312988137","0.6288209,2.729860737199796","3.577880752631579,12.179940491956858"
70,"1.037810194736842,4.7288367990936795","1.5950733894736842,7.2681569506232435","11.840381121052634,15.82353918013859"
80,"1.0664517842105263,4.727376910249346","7.544591699999999,7.479220192617554","21.753546368421055,15.877480721187792"
90,"1.0664517842105263,4.727376910249346","7.544591699999999,7.479220192617554","21.753546368421055,15.877480721187792"
100,"0.8961017,4.722578201548063","10.906880821052631,7.4754578874372335","21.871627926315792,15.87910281990372"
110,"1.0861155368421054,4.725748052788769","10.940206715789474,7.475236167794931","21.742813089473685,15.878116043184864"
120,"1.0861155368421054,4.725748052788769","10.940206715789474,7.475236167794931","21.742813089473685,15.878116043184864"
130,"0.8203502894736843,4.728559690563042","10.991043789473684,7.476351694745265","21.915453863157893,15.864686417565924"
140,"0.9517705315789476,4.7251127307916985","10.973049215789473,7.475256954011397","21.757548999999997,15.865882715368919"
150,"0.9517705315789476,4.7251127307916985","10.973049215789473,7.475256954011397","21.757548999999997,15.865882715368919"
160,"1.2278076789473684,4.759643157206981","12.020707068421052,7.508999912074304","21.947271068421053,15.86853890201625"
170,"1.1911772421052633,4.7601162693324595","17.633328094736843,7.675615294525791","21.787062394736843,15.867964408721024"
180,"0.8985164,4.758061610958953","0.0,15.224157519056977","22.007158957894735,15.867761646381533"
190,"0.8985164,4.758061610958953","0.0,15.224157519056977","22.007158957894735,15.867761646381533"
200,"9.547584284210526,7.137045105225882","30.763957068421057,15.366425313288122","21.79641136842105,9.407104670718354"
210,"11.424928784210525,9.38761245114864","31.97761592105263,15.367222118252647","22.053267389473685,9.407064118250455"
220,"11.424928784210525,9.38761245114864","31.97761592105263,15.367222118252647","22.053267389473685,9.407064118250455"
230,"11.549020157894738,9.562353035321808","30.96575771052631,15.366792536445686","21.7806013,9.407780545183323"
240,"11.394479294736842,9.56275856000079","30.20545654210526,15.367901134657199","21.955091236842108,9.407050600761156"
250,"11.394479294736842,9.56275856000079","30.20545654210526,15.367901134657199","21.955091236842108,9.407050600761156"
260,"11.434788310526315,9.563360088274612","31.282397378947373,15.368912730525203","20.724126563157892,9.40892953177377"
270,"11.780247868421053,9.585636910640002","31.174953857894735,15.395720021027337","22.389266068421055,9.435917199159997"
280,"11.780247868421053,9.585636910640002","31.174953857894735,15.395720021027337","22.389266068421055,9.435917199159997"
290,"11.532792957894737,9.585413872066562","38.212012099999995,19.811467630906915","21.785925336842105,9.435065597334134"
300,"19.477667268421055,10.031409914010519","38.507827805263155,20.275325908820154","31.79241658947368,13.908523229839155"
310,"19.477667268421055,10.031409914010519","38.507827805263155,20.275325908820154","31.79241658947368,13.908523229839155"
320,"21.98589107894737,10.836741374000068","40.18315565263158,20.27477853845322","31.387722136842104,13.91857348313325"
330,"22.011574900000003,12.122693924773955","41.454892831578945,20.27481318214733","32.234041647368414,13.91833692707051"
340,"22.011574900000003,12.122693924773955","41.454892831578945,20.27481318214733","32.234041647368414,13.91833692707051"
350,"21.931856857894736,12.649159580517162","40.408182184210524,20.274556818810915","32.11593039473684,13.921033666185737"
360,"22.03028511578947,13.812961339237141","40.56558836315789,20.277695537497262","32.29998285789473,13.922466520051472"
370,"22.03028511578947,13.812961339237141","40.56558836315789,20.277695537497262","32.29998285789473,13.922466520051472"
380,"21.921969084210524,14.300733181860855","39.999933784210526,20.27342743438294","31.95569035263158,13.919235840108918"
390,"23.44777485789474,14.44624895416875","40.99592490526316,20.29785123873032","31.811397463157896,13.919296668810766"
400,"23.44777485789474,14.44624895416875","40.99592490526316,20.29785123873032","31.811397463157896,13.919296668810766"
410,"32.795761347368426,15.24917430106301","43.03471887894737,20.805409072393612","31.941203694736842,13.92160140073631"
420,"30.93344328421053,16.415307826687133","50.47896625263157,24.04208626820275","32.1133085631579,13.91964812353255"
430,"30.93344328421053,16.415307826687133","50.47896625263157,24.04208626820275","32.1133085631579,13.91964812353255"
440,"32.73142903157895,17.103199339643613","47.6691122263158,27.212289143754077","32.19759352105263,13.918438308240255"
450,"41.028402084210526,19.082139496839847","49.67130714210527,27.21886451689611","32.23909765263157,13.917755675030635"
460,"41.028402084210526,19.082139496839847","49.67130714210527,27.21886451689611","32.23909765263157,13.917755675030635"
470,"43.48161713684211,20.237323856131468","51.059490036842114,23.30089829020205","31.777040673684205,13.918201752177515"
480,"33.919972836842106,21.543931130554817","41.10484712105263,23.17282055307826","31.013899210526315,13.918167958454267"
490,"33.919972836842106,21.543931130554817","41.10484712105263,23.17282055307826","31.013899210526315,13.918167958454267"
500,"32.52966192105263,22.083184331175243","41.4327338631579,23.17160802378442","31.916843168421053,13.918032783561273"
510,"33.27553377894737,23.329794229343264","42.12851134736842,23.198061948606632","32.166855405263156,7.597781969250821"
520,"33.27553377894737,23.329794229343264","42.12851134736842,23.198061948606632","32.166855405263156,7.597781969250821"
530,"32.37137186842105,23.899874064310943","41.2776101,27.946700815186908","32.25537550526316,7.596538360235277"
540,"32.63724770526316,24.62170123415353","39.99987547894737,27.944843913182627","31.969339789473686,7.5951190238588415"
550,"32.63724770526316,24.62170123415353","39.99987547894737,27.944843913182627","31.969339789473686,7.5951190238588415"
560,"32.448805705263155,19.981180951397395","40.24170046842105,27.955992253947148","37.58787870526316,9.784060136065696"
570,"40.75072022105263,23.6044560944175","53.16790169473685,21.303640823602557","42.07073618421053,13.507587738474701"
580,"40.75072022105263,23.6044560944175","53.16790169473685,21.303640823602557","42.07073618421053,13.507587738474701"
590,"43.22350704736842,25.093130432214284","50.32685754736843,21.3042228376636","40.76758441578947,13.896823842850536"
600,"43.1802347368421,26.447244922780328","51.97167472105263,21.307160622924105","37.71238463684211,13.895661338770788"
610,"43.1802347368421,26.447244922780328","51.97167472105263,21.307160622924105","37.71238463684211,13.895661338770788"
620,"43.4014015,26.441378332424396","50.507156889473684,21.316701496281937","41.64447597894737,13.898831190011494"
630,"43.2963564,26.44327078092631","50.971424121052635,21.34010677602249","42.96500696315789,13.954827389434204"
640,"43.2963564,26.44327078092631","50.971424121052635,21.34010677602249","42.96500696315789,13.954827389434204"
650,"39.143796447368416,26.441973101953568","52.089956331578946,28.163106114812944","54.351300152631566,14.282065529138402"
660,"43.10362584736842,26.44388582668943","50.602857142105265,28.16187972804146","61.599465394736846,14.278760503004701"
670,"43.10362584736842,26.44388582668943","50.602857142105265,28.16187972804146","61.599465394736846,14.278760503004701"
680,"43.07273642631579,26.440019824749807","59.13005582105263,28.268727809414784","60.89966027368421,17.34498667074174"
690,"43.11568521578947,26.442142070569812","61.90576235789474,28.269205892393497","62.21123502105262,19.37384691592061"
700,"43.11568521578947,26.442142070569812","61.90576235789474,28.269205892393497","62.21123502105262,19.37384691592061"
710,"43.03691772105263,26.440310450769744","62.198282447368406,28.270162058350927","61.44745208947368,23.49405200056476"
720,"43.14113933157895,26.441790615848028","61.53234343684211,28.26959390176753","61.335844736842105,24.665112651038513"
730,"43.14113933157895,26.441790615848028","61.53234343684211,28.26959390176753","61.335844736842105,24.665112651038513"
740,"43.2720442,26.436694522382158","62.35915889473684,28.268790168064182","60.85391818421052,24.974217078847584"
750,"43.30796895263158,26.440087412196302","60.40251524210527,28.4044202305039","64.07750598421052,25.039418688483174"
760,"43.30796895263158,26.440087412196302","60.40251524210527,28.4044202305039","64.07750598421052,25.039418688483174"
770,"43.36429971578948,26.438742422011014","60.737419421052635,28.268062650487877","77.91232586842105,15.033583864227094"
780,"42.97340757368421,26.438891114393307","58.93831594736842,28.561986680053913","79.24219457894738,15.028034934869694"
790,"42.97340757368421,26.438891114393307","58.93831594736842,28.561986680053913","79.24219457894738,15.028034934869694"
800,"43.392324068421054,26.43865455833057","61.32234434736842,32.90834297063164","82.06593541578947,20.991640311505133"
810,"42.94708562631579,26.43929663907229","60.74098434210526,32.90828061198224","82.09420961052632,23.379200652732525"
