,k8s-master,k8s-node01,k8s-node02
10,"1.060791746835443,4.21065548507748","0.4084422075949367,2.531582057182826","0.6252878683544304,2.5633540302931634"
20,"2.1263177924050636,4.447460135093522","0.3922470936708861,2.5325555985744357","0.7889755493670887,2.5670147592486057"
30,"1.1966080708860758,4.449712380312932","0.4073564101265823,2.5310986904779007","0.6836115898734176,2.566549693864067"
40,"1.1966080708860758,4.449712380312932","0.4073564101265823,2.5310986904779007","0.6836115898734176,2.566549693864067"
50,"1.8057513974683546,4.54144984930885","0.36718727594936706,2.531507169383471","0.7527265518987343,2.5672273605672524"
60,"1.4947973265822785,4.552046696285131","0.7197935949367088,2.562204359137105","6.351859149367089,2.705305273236876"
70,"1.4947973265822785,4.552046696285131","0.7197935949367088,2.562204359137105","6.351859149367089,2.705305273236876"
80,"1.1380531139240506,4.552152996944454","0.6916260556962026,3.205102500632972","19.472645807594937,3.6167603452299937"
90,"1.1093742025316455,4.555846944855935","1.8348014784810127,7.658679928252042","21.231454962025314,4.287909489240612"
100,"1.1093742025316455,4.555846944855935","1.8348014784810127,7.658679928252042","21.231454962025314,4.287909489240612"
110,"0.9222642075949368,4.55894959534993","0.3719270075949367,7.658734392106118","20.089678308860762,5.618860181879099"
120,"0.8659628810126582,4.557235497218344","8.342846562025315,7.831677552742966","21.066811265822786,6.251136503533467"
130,"0.8659628810126582,4.557235497218344","8.342846562025315,7.831677552742966","21.066811265822786,6.251136503533467"
140,"1.3717706886075949,4.596659754244834","11.490319787341774,7.881471131332027","21.27191170126582,7.846902069919658"
150,"11.05361511392405,4.692489798624695","10.567054865822785,7.879360656986579","21.042850541772154,8.539955793542061"
160,"11.05361511392405,4.692489798624695","10.567054865822785,7.879360656986579","21.042850541772154,8.539955793542061"
170,"10.961677625316455,4.692097814943441","10.49814454683544,7.876909783553155","21.190790521518988,9.986853930337325"
180,"10.935606805063292,4.689639612196592","15.470330349367089,8.462185167436525","21.00179386835443,10.754889481529828"
190,"10.935606805063292,4.689639612196592","15.470330349367089,8.462185167436525","21.00179386835443,10.754889481529828"
200,"10.991183174683545,5.6458140428087376","29.02960492151899,9.93285219510777","20.195751432911393,12.367683084781353"
210,"10.99856493164557,6.094960903614069","31.085850455696207,11.941554021233141","10.963773387341773,12.847212002779496"
220,"10.99856493164557,6.094960903614069","31.085850455696207,11.941554021233141","10.963773387341773,12.847212002779496"
230,"11.182559022784812,7.159116872724958","30.72785078987342,12.968783156998663","11.498521351898736,13.503279740748637"
240,"10.999227974683544,8.455353756303214","29.433172329113926,14.611276836298199","13.771502643037973,18.28606530567718"
250,"10.999227974683544,8.455353756303214","29.433172329113926,14.611276836298199","13.771502643037973,18.28606530567718"
260,"11.041787782278481,10.774575034878243","33.63011873924051,19.47450414235054","12.918895362025316,24.512447043170756"
270,"11.09820726075949,11.10107750998944","35.43879013670886,21.62761687755865","21.252813225316455,24.720982361598036"
280,"11.09820726075949,11.10107750998944","35.43879013670886,21.62761687755865","21.252813225316455,24.720982361598036"
290,"10.996966435443037,11.103436055868173","41.15690694683545,22.501094553267386","31.2936546835443,24.87627433728681"
300,"10.860206440506328,11.130549367786795","41.20335324556962,23.55123935563542","31.47651706835443,24.89709597893174"
310,"10.860206440506328,11.130549367786795","41.20335324556962,23.55123935563542","31.47651706835443,24.89709597893174"
320,"10.903891751898733,11.130210534435202","41.18094339240506,24.177628141364472","31.36694844556962,19.103783127520863"
330,"14.826794081012656,16.749927765380093","45.933680298734174,24.716425433775665","32.33802797974684,23.394456433903876"
340,"14.826794081012656,16.749927765380093","45.933680298734174,24.716425433775665","32.33802797974684,23.394456433903876"
350,"15.495188106329115,16.852687283989585","51.311362587341776,25.073687892569502","38.129637539240505,23.55978053431628"
360,"21.277319012658225,16.852481326462147","51.05925335696203,27.442831504970407","41.13618126075949,23.55925567481087"
370,"21.277319012658225,16.852481326462147","51.05925335696203,27.442831504970407","41.13618126075949,23.55925567481087"
380,"21.490416430379746,16.877349036952566","52.53215175696202,28.431942750864426","41.42877690126583,23.558890266294448"
390,"21.154211270886073,16.87814629189749","51.1607354227848,30.36937181594948","41.15432439493671,23.559029785909807"
400,"21.154211270886073,16.87814629189749","51.1607354227848,30.36937181594948","41.15432439493671,23.559029785909807"
410,"21.739477913924052,20.297951446775226","51.228338303797464,31.205391976017385","41.3387429164557,23.56219887431588"
420,"21.091961301265822,20.29803117226972","62.71374379240507,32.70301180347454","37.492574354430374,23.562969554095975"
430,"21.091961301265822,20.29803117226972","62.71374379240507,32.70301180347454","37.492574354430374,23.562969554095975"
440,"24.364472637974682,20.464783687791776","71.14808956455697,33.7908319768997","41.38570463797468,23.561786959261003"
450,"31.122943043037978,20.465926419879498","71.82707049113925,36.147312743227914","41.26637050126582,23.56243140700815"
460,"31.122943043037978,20.465926419879498","71.82707049113925,36.147312743227914","41.26637050126582,23.56243140700815"
470,"31.466122334177218,20.47106207048305","76.52035436962025,37.32962770347509","41.941192055696206,23.69047719495415"
480,"31.237932293670884,20.469600436417355","81.64255875443038,39.41076645552165","50.307816481012665,25.67866493281433"
490,"31.237932293670884,20.469600436417355","81.64255875443038,39.41076645552165","50.307816481012665,25.67866493281433"
500,"31.346980754430383,20.462285622297678","82.18559927594937,40.61804628488095","56.33479098734177,31.131410403127312"
510,"31.295657848101268,20.462205896803187","81.86395331645569,42.93276689109632","61.44383195949367,31.55590879855208"
520,"31.295657848101268,20.462205896803187","81.86395331645569,42.93276689109632","61.44383195949367,31.55590879855208"
530,"31.466497964556964,20.460730975155077","74.1386940607595,43.5780682501533","61.79877183797468,32.39378388291992"
540,"31.573696268354432,20.461601311803285","84.06346775189873,45.03643325478511","62.48372613670887,32.51036248724143"
550,"31.573696268354432,20.461601311803285","84.06346775189873,45.03643325478511","62.48372613670887,32.51036248724143"
560,"31.352219250632917,20.464398347901728","92.05910310379748,45.76919675550652","70.14930346329115,27.2861501468909"
570,"31.19524121518987,20.463587805374388","92.1285472658228,48.196834547185134","71.71444741265823,28.803439251531742"
580,"31.19524121518987,20.463587805374388","92.1285472658228,48.196834547185134","71.71444741265823,28.803439251531742"
590,"31.431846106329115,20.46435848515448","93.09206493164557,49.49111357544922","76.87376119999999,34.96489121755247"
600,"21.93275226835443,20.361346502479098","91.74821303797468,51.12208814961166","82.3048482227848,36.175343469056905"
610,"21.93275226835443,20.361346502479098","91.74821303797468,51.12208814961166","82.3048482227848,36.175343469056905"
620,"20.904772055696203,20.415174498843882","93.75238595443038,51.71924346166538","81.71466578734177,36.52766371680122"
630,"21.1914573721519,20.416928459722712","92.10533526582277,52.83127281822736","82.06419638987342,36.52811549460335"
640,"21.1914573721519,20.416928459722712","92.10533526582277,52.83127281822736","82.06419638987342,36.52811549460335"
650,"28.877783615189877,20.59421802810018","83.80807563037976,53.50402395973869","82.05669626835444,36.52830816454837"
660,"31.668564855696204,14.166482910474848","94.65272627848101,59.15791665137707","81.64995316455698,36.52846097174615"
670,"31.668564855696204,14.166482910474848","94.65272627848101,59.15791665137707","81.64995316455698,36.52846097174615"
680,"41.119733316455694,16.16312819454243","93.44165031392404,59.24775477867558","74.86477356962025,36.524049494384236"
690,"41.306330086075945,18.49644095426899","102.68334030886076,59.37669795320071","81.85976342784811,32.54663758723547"
700,"41.306330086075945,18.49644095426899","102.68334030886076,59.37669795320071","81.85976342784811,32.54663758723547"
710,"42.04712145822785,22.316939800674305","102.18984531645569,59.38442501249775","82.66969140759494,32.572820768385014"
720,"41.8363354835443,23.309123579632182","102.227719478481,59.38446586038831","83.45300857721519,32.6215596206847"
730,"41.8363354835443,23.309123579632182","102.227719478481,59.38446586038831","83.45300857721519,32.6215596206847"
740,"41.482120800000004,24.338147180836756","104.91159421265823,63.828239794273685","92.01006919999999,32.74371236582947"
750,"42.74501149873418,25.309555824688154","103.6680316556962,64.77596531905164","87.40364728607597,34.65674553754815"
760,"42.74501149873418,25.309555824688154","103.6680316556962,64.77596531905164","87.40364728607597,34.65674553754815"
770,"51.83748765063291,28.593216410137707","100.051195321519,64.93541505984113","81.69079175696203,35.44073947522155"
780,"52.20843875949367,29.089454463023216","106.04775047088607,64.89081597133459","82.21404036455695,37.07015584407474"
790,"52.20843875949367,29.089454463023216","106.04775047088607,64.89081597133459","82.21404036455695,37.07015584407474"
