,k8s-master,k8s-node01,k8s-node02
800,"51.64467960506329,29.0893548061551","105.25044926582278,65.08250831373712","82.59431929113924,37.07107933105261"
810,"51.92197861265823,29.090617126484563","105.76689283544304,65.17012023100027","84.39786252658229,42.51023160455464"
820,"51.92197861265823,29.090617126484563","105.76689283544304,65.17012023100027","84.39786252658229,42.51023160455464"
830,"51.63231286582278,29.08143540703552","106.56059491645571,67.90288495715839","84.05367110886075,42.52515355960713"
840,"51.781273205063286,29.082113073738707","106.01564962531646,70.54923597084304","91.90934831898736,42.609875185087716"
850,"51.781273205063286,29.082113073738707","106.01564962531646,70.54923597084304","91.90934831898736,42.609875185087716"
860,"49.865688632911386,29.11168458840418","101.39111214177215,72.99584079970366","92.66028589873417,42.611157436790805"
870,"51.596846,29.110302679832976","106.0996094278481,73.86894403641563","99.23675960506328,42.8069366760993"
880,"51.596846,29.110302679832976","106.0996094278481,73.86894403641563","99.23675960506328,42.8069366760993"
890,"54.6223142886076,29.083322243738507","105.02980311392403,78.22225350868062","93.44570966075949,42.808205640219974"
900,"50.715510005063294,29.08352155747474","106.67904090126582,79.84067416447853","102.10099529620253,37.36658187638868"
910,"50.715510005063294,29.08352155747474","106.67904090126582,79.84067416447853","102.10099529620253,37.36658187638868"
920,"51.557511767088606,34.9127175251984","105.56375257721518,74.5446634579741","103.3494148658228,38.40810909264614"
930,"51.89803977721519,34.91261786833029","106.82513884050633,74.55556303677106","103.131605478481,42.98431261376247"
940,"51.89803977721519,34.91261786833029","106.82513884050633,74.55556303677106","103.131605478481,42.98431261376247"
950,"52.24725441012658,34.977873185572314","100.67970243037975,74.55339129058979","104.33964263797468,43.79138043830021"
960,"51.779921149367084,36.45359873241779","106.48015313924053,74.5537929615136","106.26457926075948,44.121510423410804"
970,"51.779921149367084,36.45359873241779","106.48015313924053,74.5537929615136","106.26457926075948,44.121510423410804"
980,"57.72379816202532,43.67288177831968","105.97711498734178,74.54661054075731","96.97490188860759,44.10763818736913"
990,"70.92477295696203,43.76806073116118","106.32653757468357,74.49216711062651","106.71203132658228,44.91201527646775"
1000,"70.92477295696203,43.76806073116118","106.32653757468357,74.49216711062651","106.71203132658228,44.91201527646775"
1010,"71.171112,43.76648615264496","102.53831176708862,74.33058647154628","107.4516266177215,39.81578228615114"
1020,"71.21143385822786,43.81884587115284","95.7455788607595,74.21064344890722","107.5397211594937,41.81475954093263"
1030,"71.21143385822786,43.81884587115284","95.7455788607595,74.21064344890722","107.5397211594937,41.81475954093263"
1040,"71.55367029367088,39.84391874191575","85.57678810126582,78.61256871891688","107.01322488607593,36.24208035173825"
1050,"71.06349695696203,39.84314141834445","92.26646165569622,78.6841954950087","107.29539218227848,36.503181346200854"
1060,"71.06349695696203,39.84314141834445","92.26646165569622,78.6841954950087","107.29539218227848,36.503181346200854"
1070,"71.82138570632911,39.84468277790464","91.66323790379748,78.68796711690347","106.61611626835443,36.50971883674923"
1080,"68.16899812658228,39.84297532356426","97.78133501265822,79.97946848860967","97.72399477974685,36.87876815075453"
1090,"68.16899812658228,39.84297532356426","97.78133501265822,79.97946848860967","97.72399477974685,36.87876815075453"
1100,"70.92940956455696,34.22324480503695","102.00977253164557,81.296472559987","107.54886305316458,40.019985852711"
1110,"72.23510702278482,34.23925634184751","102.29626485569621,81.87506931376429","105.1892789772152,35.94109003486462"
1120,"72.23510702278482,34.23925634184751","102.29626485569621,81.87506931376429","105.1892789772152,35.94109003486462"
1130,"76.96360499746835,35.528650120481835","101.75614013164557,83.37533063814413","107.04659266835444,37.783047928243334"
1140,"81.87707993417722,36.84001491664002","101.69358861772153,84.0576742259546","107.59544918481014,44.32025943738915"
1150,"81.53003338734177,37.603167281294866","97.25047610632912,84.85015734267043","107.69926631898734,45.467682041706134"
1160,"81.53003338734177,37.603167281294866","97.25047610632912,84.85015734267043","107.69926631898734,45.467682041706134"
1170,"81.90288175189873,40.18801397614494","103.12876831392404,84.8495582402756","97.29528580253165,45.47534897675982"
1180,"81.81457427341773,40.18888431279314","102.44355190379746,78.89791846638501","107.74305998987344,45.47699663697933"
1190,"81.81457427341773,40.18888431279314","102.44355190379746,78.89791846638501","107.74305998987344,45.47699663697933"
1200,"81.67748495696202,40.190704711584054","102.07967218227849,78.89985193320472","107.1747182886076,45.50384419724964"
1210,"81.49184917468355,40.18886438141952","102.7706454886076,78.89898051153949","106.99472457721518,45.73237068342089"
1220,"81.49184917468355,40.18886438141952","102.7706454886076,78.89898051153949","106.99472457721518,45.73237068342089"
1230,"77.99059780759492,40.17671953109185","102.03666804050633,78.89571948827668","107.07855699240505,46.5511515118578"
1240,"81.49056133670885,40.17693213241049","92.56687284556962,78.89831332932707","106.79047456708862,49.3978100868297"
1250,"81.49056133670885,40.17693213241049","92.56687284556962,78.89831332932707","106.79047456708862,49.3978100868297"
1260,"82.76004300759493,39.76602029000547","101.99355583291138,78.89254696877676","98.74352298734176,51.08842906028822"
1270,"82.00154276962027,39.76765466264256","102.3200438835443,78.89384729329282","108.02476141772152,54.41579914809323"
1280,"82.00154276962027,39.76765466264256","102.3200438835443,78.89384729329282","108.02476141772152,54.41579914809323"
1290,"74.43127773670886,39.56933085130152","101.99812496708861,78.89357497402244","108.99538418227849,60.178630285443184"
1300,"71.11204629873417,39.569178044103744","103.88096419746837,78.89229507345165","97.72669904810127,65.19234074516895"
1310,"71.11204629873417,39.569178044103744","103.88096419746837,78.89229507345165","97.72669904810127,65.19234074516895"
1320,"73.30555893164558,39.55623593883114","97.47639966582278,78.89566502442261","107.56653182278481,69.4921027579241"
1330,"71.8568182835443,39.558840304984564","101.78746970126582,74.78911085103108","108.0273897113924,70.15923905204527"
1340,"71.8568182835443,39.558840304984564","101.78746970126582,74.78911085103108","108.0273897113924,70.15923905204527"
1350,"71.8568182835443,39.558840304984564","101.78746970126582,74.78911085103108","108.0273897113924,70.15923905204527"
1360,"71.45588958481014,39.58926886871583","107.39326012658226,75.01856026027187","109.64878184303797,67.93281160526818"
1370,"71.45588958481014,39.58926886871583","107.39326012658226,75.01856026027187","109.64878184303797,67.93281160526818"
1380,"73.59259947341772,39.72072956534258","106.37246460759494,74.83199432813424","98.76180324556961,69.40295636749919"
1390,"73.99559780759495,42.10320638000612","101.05576998481013,76.54978428569396","106.80637977721518,70.7091722254714"
1400,"73.99559780759495,42.10320638000612","101.05576998481013,76.54978428569396","106.80637977721518,70.7091722254714"
1410,"81.4138426329114,44.5924555631686","99.34513759493672,79.53802533535948","108.04106209113925,71.02474566404594"
1420,"80.7942065721519,41.151403564008646","102.31883909873417,79.4494126447777","107.06004764556963,67.7809677572162"
1430,"80.7942065721519,41.151403564008646","102.31883909873417,79.4494126447777","107.06004764556963,67.7809677572162"
1440,"81.18514600506329,41.14451395252626","106.70268745316454,79.49548906532605","107.32868450632911,68.59069309823703"
1450,"77.75514432911393,41.023025586502264","107.56354694177215,82.20215198941821","107.14508837468357,70.19364060291873"
1460,"77.75514432911393,41.023025586502264","107.56354694177215,82.20215198941821","107.14508837468357,70.19364060291873"
1470,"71.69483489620254,41.0217632661728","106.80791576708863,84.17787595190052","96.96675311898734,70.19851050187398"
1480,"70.14741374177214,41.02277312243637","106.33132478481012,87.04820275749131","107.43342059240507,65.99978062201433"
1490,"70.14741374177214,41.02277312243637","106.33132478481012,87.04820275749131","107.43342059240507,65.99978062201433"
1500,"69.08216843544304,41.048232130344275","99.58845274430381,88.85276725055776","108.53323643037974,60.28375499372262"
1510,"70.9120390329114,41.04853110094862","106.97777921012657,92.39025584463532","106.4950319544304,60.32127248267249"
1520,"70.9120390329114,41.04853110094862","106.97777921012657,92.39025584463532","106.4950319544304,60.32127248267249"
1530,"80.67711756455697,41.14930412598701","107.68663402025317,90.15911683048145","107.23234238481012,60.42219167111745"
1540,"81.65001204050633,41.148765978899185","107.14595672911392,95.9436819240119","102.18593289620253,63.99923543250782"
1550,"81.65001204050633,41.148765978899185","107.14595672911392,95.9436819240119","102.18593289620253,63.99923543250782"
1560,"81.65614152911392,41.78008559461964","97.19870105822784,97.39824126684015","107.28910930632911,65.57987973010529"
1570,"80.45370267848101,42.61837923783357","106.55088701772152,98.60538493656425","107.20663523037975,65.46042436419084"
1580,"80.45370267848101,42.61837923783357","106.55088701772152,98.60538493656425","107.20663523037975,65.46042436419084"
1590,"80.45370267848101,42.61837923783357","106.55088701772152,98.60538493656425","107.20663523037975,65.46042436419084"
1600,"103.7516288607595,41.77457789170846","107.48276007088609,93.51283757292455","115.85610244050633,65.37782875189671"
1610,"103.7516288607595,41.77457789170846","107.48276007088609,93.51283757292455","115.85610244050633,65.37782875189671"
1620,"102.14019840506329,43.27643346937381","107.22902267341773,93.49361183243569","100.24669237468353,60.22847865087455"
1630,"98.32856575189874,45.982037713215036","106.79306643037974,95.45887192695362","106.99170847594937,60.20331196977978"
1640,"98.32856575189874,45.982037713215036","106.79306643037974,95.45887192695362","106.99170847594937,60.20331196977978"
1650,"102.61676631898736,47.65372852552282","97.21124223291137,94.45500778458674","107.06641621265824,60.212932179448536"
1660,"94.9498842886076,43.861000726365695","106.8233859949367,96.10993283857914","104.59602654177215,60.28090480729451"
1670,"94.9498842886076,43.861000726365695","106.8233859949367,96.10993283857914","104.59602654177215,60.28090480729451"
1680,"94.81554271392405,44.893585399657596","106.23317021265822,96.10729134165645","108.35243838481013,60.28440608526097"
1690,"100.07094351898733,51.91619229443794","106.57858454683543,96.1215404474791","107.56938677974684,60.857718759947"
1700,"100.07094351898733,51.91619229443794","106.57858454683543,96.1215404474791","107.56938677974684,60.857718759947"
1710,"105.25166319493671,48.098596784790395","106.84487209620254,96.12234378932673","100.39174112405064,63.14135589281359"
1720,"100.89998035949367,51.16343081923194","102.35191543291138,96.125931595714","106.63142691645568,64.90094406279924"
1730,"100.89998035949367,51.16343081923194","102.35191543291138,96.125931595714","106.63142691645568,64.90094406279924"
1740,"111.94158185822783,52.17825663862566","106.68294415189872,89.39642544194524","106.90841358481013,64.76816789551336"
1750,"106.6030132658228,58.614708410315494","106.16518003544304,95.60135617719843","107.2202798886076,64.73892192661707"
1760,"98.07970776708862,55.82179146242268","106.51272065316456,90.67260885469254","98.0829040556962,64.74014438419928"
1770,"98.07970776708862,55.82179146242268","106.51272065316456,90.67260885469254","98.0829040556962,64.74014438419928"
1780,"106.30600735189871,55.89014943015871","106.3611691341772,90.6678773073697","107.9038272,71.39881768420426"
1790,"105.2630806329114,55.974605303990984","106.71687558987342,90.66652251899954","111.67604755949365,71.50451375852755"
1800,"105.2630806329114,55.974605303990984","106.71687558987342,90.66652251899954","111.67604755949365,71.50451375852755"
1810,"97.39315484556961,55.974645166738235","107.35716193417721,90.66921167179456","102.84176054177215,71.50120515050612"
1820,"106.23038004050632,56.0215569764558","102.1958678936709,90.66821770645767","109.43490428354431,71.2416388718125"
1830,"106.23038004050632,56.0215569764558","102.1958678936709,90.66821770645767","109.43490428354431,71.2416388718125"
1840,"106.55781661265821,56.02343052557637","105.72414984303798,90.66889169665185","107.91895545822786,71.23624411335184"
1850,"106.02653970126582,64.56552561988731","106.29901237468353,90.5621289266992","106.29885055189874,72.67786707992819"
1860,"106.02653970126582,64.56552561988731","106.29901237468353,90.5621289266992","106.29885055189874,72.67786707992819"
1870,"106.02257370126583,64.77343642194107","107.16478462278482,90.53478126397125","98.26409324050633,77.14658070309515"
1880,"101.6375163544304,58.45263976759487","105.72923425316456,90.53935622771364","107.9515528,77.3134063003205"
1890,"101.6375163544304,58.45263976759487","105.72923425316456,90.53935622771364","107.9515528,77.3134063003205"
1900,"108.8746987443038,54.25462741718564","105.75587723037974,90.53887286100873","110.01234462278482,77.35453136789616"
1910,"105.68582350886075,49.52252733538064","99.97472292658227,84.2449005323229","103.01121961012659,77.39835381470213"
1920,"108.45041392405065,55.79936202330549","104.48904786329115,84.24799816402349","108.18586878987341,77.235501204619"
1930,"108.45041392405065,55.79936202330549","104.48904786329115,84.24799816402349","108.18586878987341,77.235501204619"
1940,"102.88094506835442,61.15485567792016","103.8761528556962,72.35782398112936","103.79674664810126,73.28288392625737"
1950,"107.84286443544305,63.15308218429518","100.77880631898734,72.3559517861455","109.20102669873417,73.29974586834251"
1960,"107.84286443544305,63.15308218429518","100.77880631898734,72.3559517861455","109.20102669873417,73.29974586834251"
1970,"106.90438256202532,64.2566159038941","101.7266506835443,72.40857067716476","106.35273071392405,68.36065182767042"
1980,"99.67453166582277,64.25625049537769","93.09869438481013,75.22353497508722","107.70641009620252,68.4841200434743"
1990,"99.67453166582277,64.25625049537769","93.09869438481013,75.22353497508722","107.70641009620252,68.4841200434743"
2000,"107.1222868607595,64.25742644642145","100.69986151898733,71.4156810013942","108.2607084556962,64.13920018188043"
2010,"106.17172263291138,64.25468256065267","101.47101807594937,71.58688131870062","102.48345869873417,66.97337507317306"
2020,"106.99798365569619,64.24516200785203","106.31023642531646,73.63053532317932","105.09245740253165,67.7832067148532"
2030,"106.99798365569619,64.24516200785203","106.31023642531646,73.63053532317932","105.09245740253165,67.7832067148532"
2040,"105.84529133670887,64.26186449894819","97.62509,74.68933307036369","108.97755731645569,67.79187686237924"
2050,"100.71818540759494,64.17384090923737","107.80399715949366,75.81157439956495","105.63798491645571,63.02393352700871"
2060,"100.71818540759494,64.17384090923737","107.80399715949366,75.81157439956495","105.63798491645571,63.02393352700871"
2070,"106.30010552911395,64.1732562556111","106.005157078481,74.64822647649977","106.90998996962027,63.2138396548896"
2080,"107.25828216708862,67.47698773429912","106.31447952911392,72.0479314594182","107.22791555949367,65.04025772063349"
2090,"107.25828216708862,67.47698773429912","106.31447952911392,72.0479314594182","107.22791555949367,65.04025772063349"
2100,"102.99700573164556,69.73775693782879","95.90850199493671,72.5406387153175","102.36447878481012,69.64127580191058"
2110,"107.79875015189873,69.73628201618068","105.78989301265824,73.08057974866429","106.86286596455696,70.5026831947361"
2120,"107.79875015189873,69.73628201618068","105.78989301265824,73.08057974866429","106.86286596455696,70.5026831947361"
2130,"106.60169993417722,63.92899727186002","106.69840951898732,73.08096780362459","106.65195872911391,66.95256007531933"
2140,"109.41017704303796,64.04482512777506","105.1850781164557,72.9044164126552","108.89361980759494,66.95657292520879"
2150,"102.18786407594936,64.88052769241799","105.08880893164556,72.87733426121586","104.32233488101265,69.41146042024504"
2160,"102.18786407594936,64.88052769241799","105.08880893164556,72.87733426121586","104.32233488101265,69.41146042024504"
2170,"107.27353602531645,65.64315519756741","106.46417704303796,72.87896817683814","107.24702964050631,70.48174196484943"
2180,"107.05672851139241,66.62695451202117","102.15746747848101,67.32450605879741","107.63819484050632,76.0163721617973"
2190,"107.05672851139241,66.62695451202117","102.15746747848101,67.32450605879741","107.63819484050632,76.0163721617973"
2200,"108.45824823797469,66.96920277229462","101.2869493063291,67.38640422895487","98.04928404050634,76.0170564722917"
